Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,12:37:36 PM,567,16.487,37.09430313,30.31022835,30.19065094,30.9776268,34.14398575,29.35018158,33.0627594,29.8311882
4/24/2018,12:37:36 PM,837,16.757,37.04909515,30.21457672,30.09490204,30.93008041,34.12083817,29.32607841,32.98098373,29.72313309
4/24/2018,12:37:37 PM,378,17.298,37.02648544,30.19065094,30.11884689,30.91819191,34.12083817,29.31402588,32.95760727,29.72313309
4/24/2018,12:37:37 PM,648,17.568,37.15078735,30.23849678,30.17868614,31.01327515,34.1902771,29.42245865,33.08611298,29.8311882
4/24/2018,12:37:37 PM,918,17.838,37.01517868,30.20261383,30.03501892,30.88251495,34.06293869,29.37427902,32.98098373,29.74715424
4/24/2018,12:37:38 PM,189,18.109,36.98125458,30.20261383,30.0829277,30.89440918,34.06293869,29.35018158,32.95760727,29.73514366
4/24/2018,12:37:38 PM,729,18.649,36.969944,30.16672134,30.07095146,30.91819191,34.00501633,29.33813095,32.9108429,29.72313309
4/24/2018,12:37:38 PM,999,18.919,36.94732285,30.15475464,30.02303886,30.83493042,33.99342728,29.30197144,32.92253876,29.65104103
4/24/2018,12:37:39 PM,270,19.19,37.01517868,30.17868614,30.04699707,30.9063015,34.0281868,29.32607841,32.98098373,29.62700081
4/24/2018,12:37:39 PM,540,19.46,36.95863342,30.16672134,30.02303886,30.83493042,34.05135727,29.31402588,32.93422699,29.57890511
4/24/2018,12:37:39 PM,810,19.73,37.0603981,30.20261383,30.15475464,30.95385742,34.06293869,29.38632584,32.9692955,29.69910812
4/24/2018,12:37:40 PM,80,20,37.0603981,30.17868614,30.10687447,30.96574211,34.13241196,29.42245865,32.9692955,29.67507744
4/24/2018,12:37:40 PM,351,20.271,37.01517868,30.20261383,30.09490204,30.9063015,34.14398575,29.3622303,32.99266815,29.72313309
