Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,27,27,23,282,283,283
Location Y,,,,61,115,173,64,116,172
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/25/2018,9:27:33 AM,891,32.432,26.19878578,25.98806381,25.97565651,26.60672569,26.58204269,26.19878578
4/25/2018,9:27:34 AM,162,32.703,25.78937912,25.97565651,25.60279465,26.65607452,26.61906433,26.32255936
4/25/2018,9:27:34 AM,432,32.973,25.8018074,25.97565651,25.55298805,26.64373779,26.70540047,26.33492851
4/25/2018,9:27:34 AM,702,33.243,25.82665825,26.03767967,25.56544113,26.74238205,26.74238205,26.39675713
4/25/2018,9:27:34 AM,972,33.513,25.88876534,26.09967041,25.64013672,26.76702881,26.84094048,26.40911865
4/25/2018,9:27:35 AM,513,34.054,25.90118217,26.16162872,25.64013672,26.77935028,26.82862473,26.40911865
4/25/2018,9:27:35 AM,783,34.324,25.9632473,26.19878578,25.65258026,26.80399132,27.02550697,26.42148018
4/25/2018,9:27:36 AM,54,34.595,25.9632473,26.19878578,25.6650238,26.81630898,26.47090721,26.52031517
4/25/2018,9:27:36 AM,54,34.595,25.9632473,26.248312,25.72721863,26.96401787,26.39675713,26.58204269
4/25/2018,9:27:36 AM,324,34.865,26.09967041,25.78937912,25.8018074,27.08696365,26.43383789,26.54500961
4/25/2018,9:27:36 AM,864,35.405,26.13685036,25.8018074,25.81423378,27.07467461,26.49561501,26.54500961
4/25/2018,9:27:37 AM,135,35.676,26.14923859,25.82665825,25.81423378,27.22205353,26.55735588,26.63140297
4/25/2018,9:27:37 AM,405,35.946,26.19878578,25.86392593,25.86392593,26.66840744,26.61906433,26.65607452
4/25/2018,9:27:37 AM,675,36.216,26.2235508,25.92601204,25.90118217,26.63140297,26.65607452,26.65607452
4/25/2018,9:27:37 AM,945,36.486,26.28544044,25.86392593,25.95083618,26.65607452,26.64373779,26.43383789
4/25/2018,9:27:38 AM,486,37.027,25.86392593,25.95083618,26.0128746,26.71772957,26.69307137,26.12445831
4/25/2018,9:27:38 AM,756,37.297,25.8018074,25.93842506,26.07487869,26.73005676,26.75470543,26.14923859
4/25/2018,9:27:39 AM,27,37.568,25.82665825,26.03767967,26.16162872,26.87787628,26.80399132,26.13685036
4/25/2018,9:27:39 AM,297,37.838,25.91359711,26.07487869,25.77694893,26.82862473,26.80399132,26.28544044
4/25/2018,9:27:39 AM,567,38.108,25.90118217,26.06248093,25.72721863,26.82862473,26.77935028,26.35966301
4/25/2018,9:27:39 AM,837,38.378,25.91359711,26.09967041,25.75208664,26.81630898,26.87787628,26.43383789
4/25/2018,9:27:40 AM,108,38.649,25.98806381,26.2111702,25.81423378,26.92710876,26.86556625,26.38439369
4/25/2018,9:27:40 AM,648,39.189,25.98806381,26.2235508,25.82665825,26.96401787,26.89018631,26.39675713
4/25/2018,9:27:40 AM,918,39.459,26.08727646,26.31018639,25.86392593,26.93941307,26.66840744,26.48326111
4/25/2018,9:27:41 AM,189,39.73,26.08727646,26.37203026,25.81423378,26.98861694,26.34729767,26.47090721
4/25/2018,9:27:41 AM,459,40,26.12445831,26.52031517,25.82665825,27.02550697,26.38439369,26.47090721
4/25/2018,9:27:41 AM,729,40.27,26.17401505,25.9632473,25.81423378,27.03780174,26.39675713,26.56970024
4/25/2018,9:27:42 AM,270,40.811,26.2235508,25.95083618,25.91359711,27.0132122,26.53266335,26.56970024
4/25/2018,9:27:42 AM,540,41.081,26.29781532,25.93842506,25.97565651,26.86556625,26.58204269,26.59438515
4/25/2018,9:27:42 AM,810,41.351,26.42148018,26.00046921,25.9632473,26.54500961,26.69307137,26.66840744
4/25/2018,9:27:43 AM,81,41.622,26.42148018,26.06248093,26.02527809,26.60672569,26.60672569,26.66840744
4/25/2018,9:27:43 AM,351,41.892,26.61906433,26.07487869,26.06248093,26.58204269,26.63140297,26.08727646
4/25/2018,9:27:43 AM,621,42.162,26.02527809,26.05008125,26.02527809,26.65607452,26.70540047,26.0128746
4/25/2018,9:27:44 AM,162,42.703,26.00046921,26.06248093,25.98806381,26.73005676,26.73005676,26.09967041
4/25/2018,9:27:44 AM,432,42.973,25.98806381,26.09967041,25.90118217,26.81630898,26.76702881,26.14923859
4/25/2018,9:27:44 AM,702,43.243,26.05008125,26.17401505,25.67746544,26.79167175,26.84094048,26.14923859
4/25/2018,9:27:44 AM,972,43.513,26.11206627,26.18640137,25.67746544,26.75470543,26.80399132,25.85150528
4/25/2018,9:27:45 AM,243,43.784,26.16162872,26.19878578,25.64013672,26.85325432,26.84094048,25.86392593
4/25/2018,9:27:45 AM,513,44.054,26.13685036,26.2359314,25.73965263,26.85325432,26.86556625,25.93842506
4/25/2018,9:27:45 AM,783,44.324,26.12445831,26.29781532,25.86392593,26.89018631,26.89018631,26.0128746
4/25/2018,9:27:46 AM,324,44.865,26.16162872,26.32255936,25.85150528,26.93941307,26.4461956,26.00046921
4/25/2018,9:27:46 AM,594,45.135,26.2235508,26.27306557,25.82665825,26.96401787,26.28544044,26.02527809
4/25/2018,9:27:46 AM,864,45.405,26.28544044,26.11206627,25.78937912,26.97631836,26.28544044,26.05008125
4/25/2018,9:27:47 AM,135,45.676,26.28544044,25.78937912,25.86392593,27.03780174,26.40911865,26.17401505
4/25/2018,9:27:47 AM,405,45.946,26.33492851,25.83908272,25.87634659,27.02550697,26.40911865,26.2111702
4/25/2018,9:27:47 AM,675,46.216,26.38439369,25.82665825,25.93842506,26.54500961,26.12445831,25.88876534
4/25/2018,9:27:47 AM,945,46.486,26.38439369,25.93842506,26.0128746,26.42148018,26.07487869,25.88876534
4/25/2018,9:27:48 AM,486,47.027,26.38439369,26.02527809,26.02527809,26.45855331,26.14923859,25.81423378
