Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/19/2018,9:44:38 AM,9:44:38,28.11454964,25.72721863,25.59034538,25.24119186
4/19/2018,9:44:39 AM,9:44:39,28.04145432,25.72721863,25.51561737,25.16623306
4/19/2018,9:44:39 AM,9:44:39,28.05364037,25.6650238,25.52807617,25.17873001
4/19/2018,9:44:39 AM,9:44:39,28.02926636,25.65258026,25.49069786,25.15373421
4/19/2018,9:44:39 AM,9:44:39,28.0170784,25.62769127,25.52807617,25.19122505
4/19/2018,9:44:39 AM,9:44:39,28.04145432,25.67746544,25.52807617,25.20371819
4/19/2018,9:44:39 AM,9:44:39,28.04145432,25.61524391,25.50315857,25.14123535
4/19/2018,9:44:39 AM,9:44:39,28.07800865,25.6650238,25.52807617,25.17873001
4/19/2018,9:44:39 AM,9:44:39,28.10237122,25.6650238,25.46577072,25.17873001
4/19/2018,9:44:40 AM,9:44:40,28.10237122,25.6650238,25.49069786,25.21621132
4/19/2018,9:44:40 AM,9:44:40,28.11454964,25.68990517,25.54053307,25.22870255
4/19/2018,9:44:40 AM,9:44:40,28.09018898,25.72721863,25.54053307,25.17873001
4/19/2018,9:44:40 AM,9:44:40,28.10237122,25.70234489,25.49069786,25.17873001
4/19/2018,9:44:40 AM,9:44:40,28.10237122,25.71478271,25.52807617,25.20371819
4/19/2018,9:44:40 AM,9:44:40,28.07800865,25.73965263,25.54053307,25.17873001
4/19/2018,9:44:40 AM,9:44:40,28.02926636,25.71478271,25.52807617,25.17873001
4/19/2018,9:44:40 AM,9:44:40,28.07800865,25.70234489,25.54053307,25.20371819
4/19/2018,9:44:40 AM,9:44:40,28.13890457,25.68990517,25.54053307,25.21621132
4/19/2018,9:44:41 AM,9:44:41,28.13890457,25.75208664,25.56544113,25.22870255
4/19/2018,9:44:41 AM,9:44:41,28.17542839,25.76451874,25.57789421,25.25368118
4/19/2018,9:44:41 AM,9:44:41,28.12672806,25.68990517,25.56544113,25.26616669
4/19/2018,9:44:41 AM,9:44:41,28.13890457,25.70234489,25.55298805,25.21621132
4/19/2018,9:44:41 AM,9:44:41,28.12672806,25.71478271,25.56544113,25.21621132
4/19/2018,9:44:41 AM,9:44:41,28.15108109,25.72721863,25.59034538,25.21621132
4/19/2018,9:44:41 AM,9:44:41,28.17542839,25.76451874,25.64013672,25.20371819
4/19/2018,9:44:41 AM,9:44:41,28.17542839,25.76451874,25.67746544,25.26616669
4/19/2018,9:44:41 AM,9:44:41,28.17542839,25.76451874,25.65258026,25.26616669
4/19/2018,9:44:42 AM,9:44:42,28.22410774,25.8018074,25.67746544,25.2911377
4/19/2018,9:44:42 AM,9:44:42,28.21193886,25.8018074,25.73965263,25.31610107
