Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,11:04:03 AM,189,27.027,23.59309959,24.13675308,23.83364487,24.89095497,23.68178177
4/20/2018,11:04:03 AM,459,27.297,23.58042336,24.08629227,23.85893631,24.85336494,23.69444466
4/20/2018,11:04:03 AM,729,27.567,23.63111496,24.16197586,23.87157822,24.89095497,23.74508286
4/20/2018,11:04:03 AM,999,27.837,23.63111496,24.12413979,23.90950012,24.96609688,23.73242569
4/20/2018,11:04:04 AM,540,28.378,23.65645027,24.18719101,23.94740677,24.9410553,23.73242569
4/20/2018,11:04:04 AM,810,28.648,23.63111496,24.14936447,23.99793053,24.95357704,23.80834961
4/20/2018,11:04:05 AM,81,28.919,23.66911697,24.14936447,23.92213631,24.92853355,23.75774002
4/20/2018,11:04:05 AM,351,29.189,23.60577202,24.08629227,23.90950012,24.90348244,23.71976662
4/20/2018,11:04:05 AM,621,29.459,23.60577202,24.12413979,23.88422012,24.90348244,23.70710564
4/20/2018,11:04:05 AM,891,29.729,23.69444466,24.14936447,23.94740677,24.92853355,23.78304672
4/20/2018,11:04:06 AM,432,30.27,23.66911697,24.09890938,23.87157822,24.87842751,23.75774002
4/20/2018,11:04:06 AM,702,30.54,23.60577202,24.11152649,23.83364487,24.85336494,23.71976662
4/20/2018,11:04:06 AM,972,30.81,23.61844444,24.12413979,23.93477249,24.90348244,23.71976662
4/20/2018,11:04:07 AM,243,31.081,23.64378357,24.13675308,23.88422012,24.92853355,23.78304672
4/20/2018,11:04:07 AM,513,31.351,23.69444466,24.17458534,23.96004105,24.916008,23.80834961
4/20/2018,11:04:08 AM,54,31.892,23.60577202,24.08629227,23.87157822,24.89095497,23.71976662
4/20/2018,11:04:08 AM,324,32.162,23.65645027,24.14936447,23.89686012,24.90348244,23.69444466
4/20/2018,11:04:08 AM,594,32.432,23.60577202,24.08629227,23.89686012,24.87842751,23.69444466
4/20/2018,11:04:08 AM,864,32.702,23.59309959,24.07367325,23.82099724,24.85336494,23.66911697
4/20/2018,11:04:09 AM,135,32.973,23.55507088,23.99793053,23.79569817,24.81576347,23.61844444
4/20/2018,11:04:09 AM,405,33.243,23.59309959,24.06105423,23.79569817,24.82829857,23.63111496
4/20/2018,11:04:09 AM,945,33.783,23.68178177,24.09890938,23.88422012,24.916008,23.73242569
4/20/2018,11:04:10 AM,216,34.054,23.66911697,24.19979858,23.89686012,24.916008,23.77039337
4/20/2018,11:04:10 AM,486,34.324,23.61844444,24.08629227,23.87157822,24.87842751,23.66911697
4/20/2018,11:04:10 AM,756,34.594,23.65645027,24.0484314,23.87157822,24.82829857,23.68178177
4/20/2018,11:04:11 AM,27,34.865,23.68178177,24.11152649,23.87157822,24.916008,23.71976662
4/20/2018,11:04:11 AM,297,35.135,23.66911697,24.0484314,23.84629059,24.89095497,23.68178177
4/20/2018,11:04:11 AM,567,35.405,23.68178177,24.11152649,23.93477249,24.89095497,23.78304672
4/20/2018,11:04:12 AM,108,35.946,23.65645027,24.12413979,23.88422012,24.87842751,23.77039337
4/20/2018,11:04:12 AM,378,36.216,23.68178177,24.09890938,23.88422012,24.90348244,23.71976662
4/20/2018,11:04:12 AM,648,36.486,23.71976662,24.09890938,23.96004105,24.96609688,23.80834961
4/20/2018,11:04:12 AM,918,36.756,23.68178177,24.16197586,23.94740677,24.90348244,23.77039337
4/20/2018,11:04:13 AM,189,37.027,23.70710564,24.16197586,23.97267151,24.9410553,23.74508286
4/20/2018,11:04:13 AM,459,37.297,23.69444466,24.2502079,24.02318382,24.92853355,23.82099724
4/20/2018,11:04:13 AM,729,37.567,23.69444466,24.2502079,23.96004105,24.92853355,23.80834961
4/20/2018,11:04:13 AM,999,37.837,23.69444466,24.23760796,23.96004105,24.95357704,23.82099724
4/20/2018,11:04:14 AM,540,38.378,23.69444466,24.2250061,23.94740677,24.96609688,23.77039337
4/20/2018,11:04:14 AM,810,38.648,23.70710564,24.2250061,23.99793053,24.96609688,23.79569817
