Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,24,28,30,278,282,283,114,243,245,249
Location Y,,,,68,117,180,60,110,174,118,59,113,173
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
4/26/2018,2:38:24 PM,351,16.216,44.51148224,47.94298553,42.82658768,44.52214432,44.76715088,42.44799042,35.60513306,39.93200302,39.2896347,38.36466599
4/26/2018,2:38:24 PM,891,16.756,44.52214432,47.98455048,42.82658768,44.54346848,44.77779388,42.41548538,35.63943863,39.88780594,39.35623932,38.35348129
4/26/2018,2:38:25 PM,162,17.027,44.51148224,47.96377182,42.80498505,44.51148224,44.75650787,42.42632294,35.53649139,39.93200302,39.31184006,38.31991577
4/26/2018,2:38:25 PM,432,17.297,44.50082016,47.97415924,42.81578445,44.45815659,44.77779388,42.38297653,35.53649139,39.89885712,39.32294083,38.33110428
4/26/2018,2:38:25 PM,702,17.567,44.54346848,47.95338058,42.82658768,44.58610535,44.83098984,42.42632294,35.60513306,39.93200302,39.38952637,38.38703537
4/26/2018,2:38:26 PM,243,18.108,44.39413452,47.92219925,42.75095749,44.45815659,44.74586487,42.36129761,35.50215912,39.87675476,39.31184006,38.31991577
4/26/2018,2:38:26 PM,513,18.378,44.45815659,47.8910141,42.79417801,44.46882248,44.79907608,42.38297653,35.50215912,39.90990829,39.3340416,38.31991577
4/26/2018,2:38:26 PM,783,18.648,44.43682098,47.84942245,42.75095749,44.58610535,44.82035446,42.40465164,35.50215912,39.89885712,39.31184006,38.34229279
4/26/2018,2:38:27 PM,54,18.919,44.50082016,47.9118042,42.80498505,44.51148224,44.83098984,42.43715668,35.53649139,39.92095566,39.37843323,38.35348129
4/26/2018,2:38:27 PM,324,19.189,44.41547775,47.8910141,42.71852875,44.5328064,44.79907608,42.39381409,35.57081604,39.9651413,39.37843323,38.36466599
4/26/2018,2:38:27 PM,594,19.459,44.51148224,47.85982132,42.78337479,44.57544708,44.8522644,42.41548538,35.58225632,40.00931168,39.44498825,38.33110428
4/26/2018,2:38:27 PM,864,19.729,44.383461,47.81821823,42.7077179,44.56478882,44.82035446,42.39381409,35.51360321,39.98722839,39.36733627,38.28634262
4/26/2018,2:38:28 PM,405,20.27,44.34076309,47.82862091,42.78337479,44.63937759,44.83098984,42.40465164,35.58225632,40.03139114,39.43389893,38.34229279
4/26/2018,2:38:28 PM,675,20.54,44.41547775,47.83901978,42.81578445,44.60741806,44.82035446,42.45882034,35.59369659,40.00931168,39.37843323,38.38703537
4/26/2018,2:38:28 PM,945,20.81,44.33008575,47.79741287,42.69690704,44.51148224,44.77779388,42.35045624,35.52505112,39.95409775,39.2896347,38.28634262
4/26/2018,2:38:29 PM,216,21.081,44.27668381,47.74538422,42.68609238,44.61807251,44.79907608,42.39381409,35.51360321,39.93200302,39.27853012,38.30872726
4/26/2018,2:38:29 PM,486,21.351,44.23394775,47.73497772,42.57791901,44.58610535,44.80971527,42.3287735,35.52505112,39.95409775,39.32294083,38.2751503
4/26/2018,2:38:29 PM,756,21.621,44.24463272,47.7766037,42.62120056,44.55413055,44.73521805,42.39381409,35.52505112,40.00931168,39.32294083,38.29753494
4/26/2018,2:38:30 PM,26,21.891,44.27668381,47.73497772,42.61038208,44.60741806,44.77779388,42.37213516,35.53649139,40.00931168,39.35623932,38.30872726
4/26/2018,2:38:30 PM,567,22.432,44.35143661,47.7141571,42.66446686,44.56478882,44.83098984,42.37213516,35.52505112,40.02035141,39.34513855,38.28634262
4/26/2018,2:38:30 PM,837,22.702,44.36211395,47.75579071,42.7077179,44.62872696,44.87353516,42.41548538,35.52505112,40.00931168,39.35623932,38.34229279
4/26/2018,2:38:31 PM,108,22.973,44.27668381,47.73497772,42.71852875,44.62872696,44.82035446,42.33961487,35.52505112,40.04243088,39.35623932,38.29753494
4/26/2018,2:38:31 PM,378,23.243,44.30872726,47.7661972,42.74014664,44.68198395,44.8522644,42.43715668,35.51360321,40.09760666,39.40061951,38.34229279
4/26/2018,2:38:31 PM,648,23.513,44.30872726,47.83901978,42.69690704,44.63937759,44.88416672,42.39381409,35.52505112,40.08657455,39.36733627,38.30872726
4/26/2018,2:38:32 PM,189,24.054,44.27668381,47.82862091,42.71852875,44.69263077,44.86289978,42.41548538,35.52505112,40.11967087,39.36733627,38.33110428
4/26/2018,2:38:32 PM,459,24.324,44.34076309,47.8910141,42.7293396,44.74586487,44.9160614,42.46965408,35.53649139,40.13069916,39.42280579,38.38703537
4/26/2018,2:38:32 PM,729,24.594,44.27668381,47.84942245,42.74014664,44.68198395,44.89479828,42.42632294,35.51360321,40.11967087,39.41171265,38.37585068
4/26/2018,2:38:32 PM,999,24.864,44.29804611,47.82862091,42.7293396,44.72457504,44.83098984,42.41548538,35.52505112,40.15275955,39.45607758,38.31991577
4/26/2018,2:38:33 PM,270,25.135,44.26600266,47.80781555,42.74014664,44.78843307,44.88416672,42.43715668,35.52505112,40.14173126,39.4671669,38.38703537
4/26/2018,2:38:33 PM,540,25.405,44.39413452,47.84942245,42.68609238,44.76715088,44.86289978,42.46965408,35.54793549,40.20788956,39.47825241,38.38703537
4/26/2018,2:38:33 PM,810,25.675,44.41547775,47.9118042,42.84819031,44.86289978,45.01170349,42.56709671,35.62800217,40.28503036,39.54475784,38.45411682
4/26/2018,2:38:34 PM,351,26.216,44.5328064,48.01571274,42.8589859,44.96920395,45.06480408,42.65365219,35.68516159,40.34009933,39.63337326,38.53233337
4/26/2018,2:38:34 PM,621,26.486,44.54346848,47.98455048,42.93455505,44.92669296,45.05418777,42.64283371,35.70801926,40.34009933,39.64444733,38.57700729
4/26/2018,2:38:34 PM,891,26.756,44.5328064,48.0676384,42.98850632,44.9798317,45.13911438,42.69690704,35.73086929,40.41716003,39.6776619,38.61050034
4/26/2018,2:38:35 PM,162,27.027,44.68198395,48.0676384,42.96693039,45.01170349,45.1072731,42.7293396,35.77656174,40.42816544,39.68872833,38.58817291
4/26/2018,2:38:35 PM,432,27.297,44.52214432,47.92219925,42.9129715,44.99045563,45.13911438,42.64283371,35.76514053,40.42816544,39.68872833,38.56583786
4/26/2018,2:38:35 PM,972,27.837,44.57544708,47.98455048,43.01008224,45.00107956,45.21338272,42.71852875,35.78798294,40.49417496,39.75512314,38.64398575
4/26/2018,2:38:36 PM,243,28.108,44.63937759,48.00532913,42.93455505,45.01170349,45.23459244,42.77257156,35.77656174,40.52716827,39.78830719,38.65514755
4/26/2018,2:38:36 PM,513,28.378,44.61807251,47.98455048,42.9129715,45.07542419,45.2451973,42.7293396,35.77656174,40.48317719,39.799366,38.64398575
4/26/2018,2:38:36 PM,783,28.648,44.66068268,47.95338058,42.9021759,45.01170349,45.16033936,42.7293396,35.73086929,40.5161705,39.76618576,38.64398575
4/26/2018,2:38:36 PM,783,28.648,44.66068268,47.95338058,42.9021759,45.01170349,45.16033936,42.7293396,35.73086929,40.5161705,39.76618576,38.64398575
4/26/2018,2:38:38 PM,405,30.27,44.67133331,47.9949379,42.9021759,44.86289978,45.13911438,42.68609238,35.68516159,40.50517273,39.71086502,38.59933853
4/26/2018,2:38:38 PM,675,30.54,44.5967598,47.98455048,42.96693039,44.9585762,45.19216919,42.74014664,35.67373276,40.53816223,39.73299789,38.58817291
4/26/2018,2:38:38 PM,945,30.81,44.62872696,48.02610016,42.97771835,45.03294754,45.29821014,42.76176453,35.69659042,40.61510468,39.74406052,38.61050034
4/26/2018,2:38:39 PM,486,31.351,44.63937759,48.02610016,42.96693039,45.02232361,45.29821014,42.80498505,35.67373276,40.5711441,39.74406052,38.63282394
4/26/2018,2:38:39 PM,756,31.621,44.67133331,48.03648758,42.93455505,45.06480408,45.22398758,42.77257156,35.73086929,40.60411453,39.78830719,38.64398575
4/26/2018,2:38:40 PM,26,31.891,44.5967598,47.95338058,42.9021759,45.05418777,45.20277405,42.7293396,35.62800217,40.58213425,39.74406052,38.56583786
4/26/2018,2:38:40 PM,297,32.162,44.56478882,47.9118042,42.82658768,44.94794846,45.20277405,42.64283371,35.61656952,40.50517273,39.71086502,38.52116013
4/26/2018,2:38:40 PM,837,32.702,44.5328064,47.92219925,42.84819031,45.02232361,45.22398758,42.59955978,35.65087128,40.54915619,39.74406052,38.54350281
4/26/2018,2:38:41 PM,108,32.973,44.55413055,47.8910141,42.8589859,45.05418777,45.16033936,42.64283371,35.61656952,40.5711441,39.69979858,38.52116013
4/26/2018,2:38:41 PM,378,33.243,44.55413055,47.9118042,42.88058472,45.07542419,45.21338272,42.67528152,35.61656952,40.58213425,39.74406052,38.4876442
4/26/2018,2:38:41 PM,648,33.513,44.55413055,47.85982132,42.83738708,44.99045563,45.14972687,42.64283371,35.55937576,40.56015015,39.71086502,38.47646713
