Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939
Location X,,,,50,166,282
Location Y,,,,128,128,130
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value
5/3/2018,10:05:33 AM,459,55.946,26.76702881,27.91952515,30.98951149
5/3/2018,10:05:33 AM,729,56.216,26.76702881,27.90732384,30.98951149
5/3/2018,10:05:33 AM,999,56.486,26.71772957,27.84630585,30.89440918
5/3/2018,10:05:34 AM,270,56.757,26.70540047,27.88292122,30.89440918
5/3/2018,10:05:34 AM,540,57.027,26.68074036,27.91952515,30.96574211
5/3/2018,10:05:34 AM,810,57.297,26.64373779,27.85851097,30.84682846
5/3/2018,10:05:35 AM,81,57.568,26.69307137,27.88292122,30.9063015
5/3/2018,10:05:35 AM,351,57.838,26.69307137,27.89512253,30.94196892
5/3/2018,10:05:35 AM,621,58.108,26.74238205,27.87071609,30.91819191
5/3/2018,10:05:35 AM,621,58.108,26.74238205,27.87071609,30.91819191
5/3/2018,10:05:35 AM,621,58.108,26.74238205,27.87071609,30.91819191
5/3/2018,10:05:37 AM,513,60,26.61906433,27.93172264,30.9776268
5/3/2018,10:05:37 AM,783,60.27,26.69307137,27.96831131,31.04891205
5/3/2018,10:05:38 AM,54,60.541,26.74238205,27.94392014,31.07266235
5/3/2018,10:05:38 AM,324,60.811,26.75470543,28.02926636,31.07266235
5/3/2018,10:05:38 AM,594,61.081,26.70540047,27.96831131,31.01327515
5/3/2018,10:05:38 AM,864,61.351,26.66840744,27.96831131,31.03703308
5/3/2018,10:05:39 AM,135,61.622,26.69307137,27.98050499,31.0607872
5/3/2018,10:05:39 AM,675,62.162,26.70540047,27.99269867,31.12015343
5/3/2018,10:05:39 AM,945,62.432,26.76702881,28.02926636,31.10828209
5/3/2018,10:05:40 AM,216,62.703,26.75470543,28.00488853,31.09641075
5/3/2018,10:05:40 AM,486,62.973,26.74238205,28.00488853,31.12015343
5/3/2018,10:05:40 AM,756,63.243,26.79167175,28.04145432,31.1557579
5/3/2018,10:05:41 AM,297,63.784,26.73005676,28.05364037,31.10828209
5/3/2018,10:05:41 AM,567,64.054,26.74238205,28.04145432,31.21507454
5/3/2018,10:05:41 AM,837,64.324,26.71772957,27.99269867,31.14389038
5/3/2018,10:05:42 AM,108,64.595,26.68074036,28.02926636,31.17948723
5/3/2018,10:05:42 AM,378,64.865,26.70540047,28.05364037,31.19135094
5/3/2018,10:05:42 AM,648,65.135,26.70540047,28.07800865,31.23879242
5/3/2018,10:05:42 AM,918,65.405,26.81630898,28.13890457,31.30991936
5/3/2018,10:05:43 AM,459,65.946,26.82862473,28.12672806,31.30991936
5/3/2018,10:05:43 AM,729,66.216,26.85325432,28.21193886,31.39284706
5/3/2018,10:05:43 AM,999,66.486,26.80399132,28.12672806,31.28621483
5/3/2018,10:05:44 AM,270,66.757,26.77935028,28.13890457,31.29806709
5/3/2018,10:05:44 AM,540,67.027,26.74238205,28.12672806,31.28621483
5/3/2018,10:05:44 AM,810,67.297,26.74238205,28.12672806,31.29806709
5/3/2018,10:05:45 AM,351,67.838,26.79167175,28.15108109,31.34546661
