Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,25,23,29,267,269,269,116,232,234,236
Location Y,,,,63,119,176,61,113,176,118,62,115,173
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/6/2018,9:02:02 PM,189,14.595,46.43809128,51.87654114,44.3194046,39.43389893,39.00061417,39.71086502,33.16781998,34.66371918,34.49072266,34.34059143
5/6/2018,9:02:02 PM,459,14.865,46.39604568,51.86643982,44.28736496,39.44498825,39.04512405,39.76618576,33.19115067,34.67524338,34.55995178,34.34059143
5/6/2018,9:02:02 PM,729,15.135,46.35398865,51.83613968,44.35143661,39.4671669,39.04512405,39.73299789,33.14447784,34.65219498,34.51380157,34.34059143
5/6/2018,9:02:03 PM,270,15.676,46.43809128,51.83613968,44.36211395,39.43389893,39.08961487,39.77724838,33.19115067,34.61761093,34.55995178,34.32903671
5/6/2018,9:02:03 PM,540,15.946,46.44860077,51.86643982,44.42615128,39.43389893,39.05624771,39.69979858,33.16781998,34.65219498,34.53688049,34.35214615
5/6/2018,9:02:03 PM,810,16.216,46.45911026,51.85634232,44.40480804,39.4671669,39.05624771,39.76618576,33.13280869,34.64066696,34.49072266,34.36370087
5/6/2018,9:02:04 PM,81,16.487,46.45911026,51.85634232,44.383461,39.4671669,39.11185455,39.76618576,33.12113571,34.65219498,34.52534103,34.35214615
5/6/2018,9:02:04 PM,351,16.757,46.45911026,51.88663864,44.37278748,39.48933792,39.06737137,39.69979858,33.12113571,34.67524338,34.52534103,34.29436111
5/6/2018,9:02:04 PM,621,17.027,46.31192017,51.79572296,44.27668381,39.40061951,39.00061417,39.66659164,33.0627594,34.65219498,34.43300247,34.29436111
5/6/2018,9:02:05 PM,162,17.568,46.33295441,51.81593323,44.28736496,39.36733627,38.95609283,39.61122513,33.03939819,34.54841614,34.38680649,34.1902771
5/6/2018,9:02:05 PM,432,17.838,46.36450577,51.81593323,44.35143661,39.41171265,39.01174164,39.6776619,33.07443619,34.57148361,34.43300247,34.25967407
5/6/2018,9:02:05 PM,702,18.108,46.34347153,51.81593323,44.29804611,39.36733627,38.94495773,39.64444733,33.0510788,34.54841614,34.37525177,34.23654556
5/6/2018,9:02:05 PM,972,18.378,46.2908783,51.82603455,44.34076309,39.34513855,38.97835541,39.66659164,33.0627594,34.59455109,34.43300247,34.28279877
5/6/2018,9:02:06 PM,243,18.649,46.2908783,51.80582809,44.41547775,39.34513855,38.95609283,39.66659164,33.03939819,34.57148361,34.42145538,34.28279877
5/6/2018,9:02:06 PM,513,18.919,46.25931168,51.78561783,44.29804611,39.35623932,38.90041351,39.62230301,33.01603699,34.50226212,34.38680649,34.24811172
5/6/2018,9:02:07 PM,54,19.46,46.35398865,51.846241,44.33008575,39.37843323,39.03399658,39.75512314,33.09778976,34.57148361,34.44454956,34.28279877
5/6/2018,9:02:07 PM,324,19.73,46.24878693,51.74518967,44.23394775,39.30073929,38.92268753,39.69979858,33.02771759,34.50226212,34.38680649,34.24811172
5/6/2018,9:02:07 PM,594,20,46.33295441,51.81593323,44.25531769,39.36733627,38.96722412,39.68872833,33.03939819,34.46763611,34.39835739,34.23654556
5/6/2018,9:02:07 PM,864,20.27,46.34347153,51.85634232,44.21257401,39.37843323,38.96722412,39.66659164,33.09778976,34.55995178,34.49072266,34.28279877
5/6/2018,9:02:08 PM,135,20.541,46.40655899,51.83613968,44.24463272,39.42280579,39.00061417,39.77724838,33.09778976,34.6060791,34.49072266,34.35214615
5/6/2018,9:02:08 PM,405,20.811,46.34347153,51.85634232,44.26600266,39.47825241,38.98948669,39.72193146,33.10946274,34.67524338,34.53688049,34.32903671
5/6/2018,9:02:08 PM,675,21.081,46.38553238,51.846241,44.28736496,39.4671669,38.97835541,39.66659164,33.09778976,34.6060791,34.49072266,34.28279877
5/6/2018,9:02:08 PM,945,21.351,46.48012161,51.86643982,44.35143661,39.4671669,39.01174164,39.78830719,33.14447784,34.64066696,34.47917938,34.32903671
