Plot 1 FLIR USB Video,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,24,23,23,283,281,281,114,233,234,237
Location Y,,,,63,117,176,63,113,174,118,60,117,175
Size X,,,,,,,,,,,,,
Size Y,,,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value,Sp9.Value,Sp10.Value
5/2/2018,4:23:38 PM,729,12.973,38.38703537,41.73103333,37.97256851,39.38952637,39.8104248,37.87154388,33.99342728,36.55073166,35.54793549,34.8479805
5/2/2018,4:23:38 PM,999,13.243,38.38703537,41.72014236,37.92768097,39.42280579,39.77724838,37.81538773,33.99342728,36.56208038,35.53649139,34.8479805
5/2/2018,4:23:39 PM,269,13.513,38.25276184,41.69835281,37.89400101,39.32294083,39.68872833,37.74796295,33.9238739,36.47126389,35.44491577,34.73284912
5/2/2018,4:23:39 PM,810,14.054,38.26395798,41.72014236,37.89400101,39.37843323,39.75512314,37.7142334,33.91228104,36.49397278,35.4678154,34.74436951
5/2/2018,4:23:40 PM,80,14.324,38.31991577,41.70924759,37.90522766,39.35623932,39.75512314,37.68050003,33.88908386,36.49397278,35.4678154,34.70981216
5/2/2018,4:23:40 PM,351,14.595,38.31991577,41.73103333,37.89400101,39.34513855,39.77724838,37.74796295,33.91228104,36.50532913,35.49071121,34.75588608
5/2/2018,4:23:40 PM,621,14.865,38.37585068,41.7419281,37.99500656,39.44498825,39.88780594,37.82661819,33.95865631,36.57342911,35.53649139,34.8479805
5/2/2018,4:23:40 PM,891,15.135,38.33110428,41.7419281,37.92768097,39.40061951,39.88780594,37.79291534,33.94706345,36.55073166,35.50215912,34.79042816
5/2/2018,4:23:41 PM,161,15.405,38.31991577,41.7419281,37.90522766,39.36733627,39.799366,37.7142334,33.85428238,36.50532913,35.50215912,34.72133255
5/2/2018,4:23:41 PM,432,15.676,38.43175888,41.79637909,37.97256851,39.45607758,39.85464859,37.79291534,33.91228104,36.55073166,35.51360321,34.76739883
5/2/2018,4:23:41 PM,702,15.946,38.43175888,41.82903671,37.97256851,39.51150894,39.92095566,37.82661819,33.95865631,36.59612274,35.58225632,34.83647156
5/2/2018,4:23:42 PM,242,16.486,38.37585068,41.85080338,37.98378754,39.44498825,39.85464859,37.82661819,33.90068054,36.60746765,35.58225632,34.81345367
5/2/2018,4:23:42 PM,513,16.757,38.61050034,42.01394653,38.15196609,39.68872833,40.04243088,37.98378754,34.07452011,36.80016327,35.74229431,35.0089798
5/2/2018,4:23:42 PM,783,17.027,38.65514755,42.01394653,38.17437363,39.73299789,40.13069916,38.08472061,34.12083817,36.85678482,35.77656174,35.03196335
5/2/2018,4:23:43 PM,53,17.297,38.66630554,42.02481461,38.17437363,39.78830719,40.14173126,38.03987122,34.09768295,36.8454628,35.76514053,35.0089798
5/2/2018,4:23:43 PM,324,17.568,38.66630554,42.10087204,38.21917343,39.8325386,40.22993469,38.10713959,34.15555954,36.87942505,35.8336525,35.0089798
5/2/2018,4:23:43 PM,594,17.838,38.68862152,42.19859314,38.23036957,39.88780594,40.22993469,38.17437363,34.1902771,36.90206146,35.84506607,35.05493927
5/2/2018,4:23:44 PM,134,18.378,38.6997757,42.12259293,38.2415657,39.89885712,40.24095535,38.10713959,34.14398575,36.90206146,35.87930679,35.05493927
5/2/2018,4:23:44 PM,405,18.649,38.73323822,42.14431381,38.2415657,39.98722839,40.28503036,38.17437363,34.15555954,36.92469406,35.84506607,35.07791519
5/2/2018,4:23:44 PM,675,18.919,38.73323822,42.20944595,38.25276184,39.9651413,40.2740097,38.18557358,34.14398575,36.91337585,35.85647964,35.11236954
5/2/2018,4:23:44 PM,945,19.189,38.75554276,42.27454758,38.37585068,39.97618484,40.3290863,38.23036957,34.17870712,36.87942505,35.91353607,35.07791519
5/2/2018,4:23:45 PM,215,19.459,38.80013657,42.28539276,38.36466599,39.99827194,40.34009933,38.19677353,34.17870712,36.969944,35.90212631,35.12385178
5/2/2018,4:23:45 PM,486,19.73,38.78899002,42.27454758,38.36466599,40.00931168,40.3731308,38.25276184,34.1902771,36.99256516,35.93634796,35.14681244
5/2/2018,4:23:45 PM,756,20,38.73323822,42.28539276,38.30872726,39.9651413,40.24095535,38.14076233,34.15555954,36.93600845,35.86789322,35.07791519
5/2/2018,4:23:46 PM,26,20.27,38.80013657,42.30708313,38.36466599,40.06450272,40.34009933,38.18557358,34.1902771,37.00387192,35.91353607,35.1353302
5/2/2018,4:23:46 PM,567,20.811,38.84471512,42.31792831,38.43175888,40.16378784,40.38414001,38.28634262,34.1902771,36.969944,35.94775391,35.14681244
5/2/2018,4:23:46 PM,837,21.081,38.75554276,42.31792831,38.40939713,40.11967087,40.39514923,38.28634262,34.17870712,37.01517868,35.95915604,35.1812439
5/2/2018,4:23:47 PM,107,21.351,38.81128311,42.30708313,38.43175888,40.18584061,40.43917084,38.33110428,34.2249794,37.07170105,36.0389595,35.20419693
5/2/2018,4:23:47 PM,378,21.622,38.78899002,42.33961487,38.43175888,40.16378784,40.41716003,38.36466599,34.1902771,37.02648544,35.97056198,35.16976929
5/2/2018,4:23:47 PM,648,21.892,38.7443924,42.33961487,38.37585068,40.06450272,40.36212158,38.21917343,34.16713333,36.99256516,35.95915604,35.11236954
5/2/2018,4:23:48 PM,188,22.432,38.75554276,42.29623795,38.30872726,40.06450272,40.35111237,38.17437363,34.09768295,37.01517868,35.90212631,35.14681244
5/2/2018,4:23:48 PM,459,22.703,38.7443924,42.31792831,38.36466599,40.10863876,40.38414001,38.18557358,34.14398575,37.07170105,36.00476456,35.15829086
5/2/2018,4:23:48 PM,729,22.973,38.81128311,42.35045624,38.420578,40.13069916,40.42816544,38.29753494,34.17870712,37.12819672,36.02756119,35.20419693
5/2/2018,4:23:48 PM,999,23.243,38.75554276,42.28539276,38.35348129,40.16378784,40.42816544,38.26395798,34.15555954,37.083004,35.99336624,35.1353302
5/2/2018,4:23:49 PM,269,23.513,38.80013657,42.36129761,38.420578,40.26299286,40.46117401,38.26395798,34.16713333,37.083004,36.0389595,35.19272232
5/2/2018,4:23:49 PM,540,23.784,38.86699677,42.36129761,38.43175888,40.19686508,40.43917084,38.21917343,34.17870712,37.16208267,36.00476456,35.1812439
5/2/2018,4:23:50 PM,80,24.324,38.76669312,42.36129761,38.36466599,40.18584061,40.42816544,38.26395798,34.13241196,37.083004,36.01616287,35.14681244
