Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,1:43:55 PM,216,17.568,41.16334152,37.16208267,36.81148911,32.21895981,39.87675476,30.77542305,37.43283081,35.62800217
4/24/2018,1:43:55 PM,756,18.108,41.21803665,37.18466568,36.83414078,32.21895981,39.92095566,30.79922867,37.48916245,35.63943863
4/24/2018,1:43:56 PM,26,18.378,41.15240097,37.12819672,36.73218918,32.16014099,39.85464859,30.70397377,37.41028976,35.63943863
4/24/2018,1:43:56 PM,297,18.649,41.21803665,37.15078735,36.80016327,32.19543457,39.94305038,30.76351738,37.48916245,35.67373276
4/24/2018,1:43:56 PM,567,18.919,41.18522263,37.09430313,36.83414078,32.19543457,39.87675476,30.77542305,37.43283081,35.65087128
4/24/2018,1:43:56 PM,837,19.189,41.15240097,37.12819672,36.82281494,32.19543457,39.89885712,30.73970413,37.3539238,35.63943863
4/24/2018,1:43:57 PM,107,19.459,41.18522263,37.10560226,36.82281494,32.2071991,39.87675476,30.75161171,37.43283081,35.67373276
4/24/2018,1:43:57 PM,378,19.73,41.20709991,37.15078735,36.78883743,32.21895981,39.90990829,30.78732681,37.44409943,35.69659042
4/24/2018,1:43:57 PM,918,20.27,41.19615936,37.09430313,36.83414078,32.21895981,39.92095566,30.78732681,37.50042343,35.67373276
4/24/2018,1:43:58 PM,189,20.541,41.23990631,37.20724869,36.85678482,32.24247742,40.02035141,30.75161171,37.46663284,35.76514053
4/24/2018,1:43:58 PM,459,20.811,41.21803665,37.20724869,36.83414078,32.26599503,40.00931168,30.79922867,37.51168823,35.73086929
4/24/2018,1:43:58 PM,729,21.081,41.283638,37.28624725,36.90206146,32.289505,40.10863876,30.85872459,37.55672836,35.76514053
4/24/2018,1:43:58 PM,999,21.351,41.31642914,37.21853638,36.93600845,32.36000443,40.16378784,30.89440918,37.57923889,35.77656174
4/24/2018,1:43:59 PM,270,21.622,41.31642914,37.30881119,36.93600845,32.3365097,40.20788956,30.89440918,37.59049606,35.8336525
4/24/2018,1:43:59 PM,540,21.892,41.30550003,37.29753113,36.93600845,32.34825897,40.14173126,30.9063015,37.57923889,35.85647964
4/24/2018,1:44:00 PM,80,22.432,41.30550003,37.28624725,36.969944,32.32476044,40.17481232,30.87062073,37.54546738,35.82223511
4/24/2018,1:44:00 PM,351,22.703,41.34920883,37.32009125,37.04909515,32.30125809,40.10863876,30.87062073,37.64675522,35.8336525
4/24/2018,1:44:00 PM,621,22.973,41.20709991,37.3539238,37.03779221,32.30125809,40.15275955,30.81113052,37.57923889,35.84506607
4/24/2018,1:44:00 PM,891,23.243,41.283638,37.3539238,37.0603981,32.36000443,40.18584061,30.88251495,37.56798553,35.87930679
4/24/2018,1:44:01 PM,162,23.514,41.31642914,37.43283081,37.09430313,32.38349915,40.19686508,30.9063015,37.6692543,35.92494202
4/24/2018,1:44:01 PM,432,23.784,41.33828354,37.43283081,37.083004,32.36000443,40.2740097,30.9063015,37.60174942,35.84506607
4/24/2018,1:44:01 PM,702,24.054,41.34920883,37.34264755,37.07170105,32.289505,40.26299286,30.84682846,37.62425613,35.79940033
4/24/2018,1:44:01 PM,972,24.324,41.3819809,37.3539238,37.083004,32.30125809,40.21891022,30.87062073,37.62425613,35.86789322
4/24/2018,1:44:02 PM,513,24.865,41.36013412,37.36520004,36.99256516,32.27774811,40.22993469,30.88251495,37.65800476,35.87930679
4/24/2018,1:44:02 PM,783,25.135,41.37105942,37.33136749,37.02648544,32.30125809,40.21891022,30.85872459,37.70299149,35.86789322
4/24/2018,1:44:03 PM,53,25.405,41.26177597,37.27496719,36.99256516,32.24247742,40.14173126,30.77542305,37.53421021,35.78798294
4/24/2018,1:44:03 PM,324,25.676,41.32735443,37.30881119,36.98125458,32.23072052,40.13069916,30.83493042,37.62425613,35.87930679
4/24/2018,1:44:03 PM,594,25.946,41.32735443,37.27496719,36.95863342,32.2071991,40.17481232,30.82303238,37.62425613,35.85647964
4/24/2018,1:44:03 PM,864,26.216,41.31642914,37.33136749,37.00387192,32.24247742,40.15275955,30.88251495,37.63550568,35.87930679
4/24/2018,1:44:04 PM,134,26.486,41.37105942,37.32009125,37.01517868,32.21895981,40.19686508,30.83493042,37.64675522,35.89071655
4/24/2018,1:44:04 PM,405,26.757,41.27270889,37.20724869,37.03779221,32.19543457,40.13069916,30.76351738,37.55672836,35.78798294
4/24/2018,1:44:04 PM,945,27.297,41.31642914,37.29753113,37.00387192,32.19543457,40.15275955,30.75161171,37.55672836,35.78798294
4/24/2018,1:44:05 PM,216,27.568,41.31642914,37.25239563,37.02648544,32.2071991,40.07553864,30.73970413,37.54546738,35.8336525
4/24/2018,1:44:05 PM,486,27.838,41.29457092,37.26368332,36.98125458,32.2071991,40.06450272,30.77542305,37.57923889,35.77656174
