Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939
Location X,,,,293,296,295,20,22,19,78
Location Y,,,,60,111,169,56,114,167,117
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/24/2018,5:09:53 PM,594,31.081,31.3245945,31.30090904,31.2179718,30.14641571,30.83808708,29.37843704,31.12311554
4/24/2018,5:09:53 PM,864,31.351,31.31275368,31.22982407,31.18240929,30.13445473,30.75482368,29.34231377,31.0756588
4/24/2018,5:09:54 PM,405,31.892,31.24167442,31.2179718,31.11125183,30.09856415,30.74292564,29.29413223,31.04005241
4/24/2018,5:09:54 PM,675,32.162,31.24167442,31.17055321,31.09938812,30.02675056,30.70722008,29.27003479,31.01630974
4/24/2018,5:09:54 PM,945,32.432,31.31275368,31.20611954,31.13497543,30.05069351,30.73102379,29.29413223,31.01630974
4/24/2018,5:09:55 PM,215,32.702,31.27721786,31.25352287,31.12311554,30.07463074,30.73102379,29.25798416,31.01630974
4/24/2018,5:09:55 PM,486,32.973,31.27721786,31.2179718,31.09938812,30.03872299,30.74292564,29.23387718,31.02818108
4/24/2018,5:09:55 PM,756,33.243,31.24167442,31.17055321,31.0756588,29.99082756,30.69531441,29.24593163,30.95693207
4/24/2018,5:09:56 PM,26,33.513,31.22982407,31.19426537,31.08752441,30.01477623,30.67150307,29.29413223,31.00443649
4/24/2018,5:09:56 PM,567,34.054,31.26537132,31.26537132,31.09938812,30.02675056,30.73102379,29.27003479,31.00443649
4/24/2018,5:09:56 PM,837,34.324,31.28906441,31.25352287,31.0756588,30.02675056,30.77861977,29.27003479,30.98068619
4/24/2018,5:09:57 PM,107,34.594,31.27721786,31.26537132,31.13497543,30.09856415,30.77861977,29.31822586,31.01630974
4/24/2018,5:09:57 PM,378,34.865,31.28906441,31.33643532,31.17055321,30.11052895,30.82619667,29.35435677,31.05192184
4/24/2018,5:09:57 PM,648,35.135,31.28906441,31.3245945,31.13497543,30.09856415,30.77861977,29.34231377,31.04005241
4/24/2018,5:09:57 PM,918,35.405,31.2179718,31.24167442,31.0756588,30.08659744,30.74292564,29.31822586,31.00443649
4/24/2018,5:09:58 PM,459,35.946,31.24167442,31.30090904,31.17055321,30.09856415,30.77861977,29.39047623,31.06379128
4/24/2018,5:09:58 PM,729,36.216,31.2179718,31.26537132,31.14683533,30.06266212,30.81430435,29.35435677,31.02818108
4/24/2018,5:09:58 PM,999,36.486,31.25352287,31.24167442,31.14683533,30.11052895,30.77861977,29.36639786,31.02818108
4/24/2018,5:09:59 PM,269,36.756,31.2179718,31.19426537,31.06379128,30.07463074,30.76672363,29.37843704,31.05192184
4/24/2018,5:09:59 PM,540,37.027,31.17055321,31.12311554,30.99256325,29.99082756,30.69531441,29.24593163,30.99256325
4/24/2018,5:09:59 PM,810,37.297,31.25352287,31.19426537,31.0756588,29.96687126,30.74292564,29.23387718,30.99256325
4/24/2018,5:10:00 PM,351,37.838,31.18240929,31.18240929,31.02818108,29.99082756,30.68341064,29.23387718,30.95693207
4/24/2018,5:10:00 PM,621,38.108,31.12311554,31.15869522,31.01630974,29.99082756,30.68341064,29.27003479,30.93317223
4/24/2018,5:10:00 PM,891,38.378,31.19426537,31.15869522,31.00443649,29.97884941,30.70722008,29.25798416,30.93317223
4/24/2018,5:10:01 PM,161,38.648,31.22982407,31.17055321,31.06379128,29.94291115,30.647686,29.23387718,30.92129135
4/24/2018,5:10:01 PM,432,38.919,31.20611954,31.13497543,31.01630974,29.91894722,30.61195183,29.20976639,30.90940857
4/24/2018,5:10:01 PM,972,39.459,31.22982407,31.13497543,31.00443649,29.95489311,30.62386513,29.22182274,30.9450531
4/24/2018,5:10:02 PM,242,39.729,31.22982407,31.12311554,31.05192184,29.99082756,30.62386513,29.27003479,30.9450531
4/24/2018,5:10:02 PM,513,40,31.2179718,31.17055321,31.02818108,30.05069351,30.71912193,29.28208351,30.95693207
4/24/2018,5:10:02 PM,783,40.27,31.20611954,31.18240929,31.05192184,30.05069351,30.70722008,29.27003479,31.00443649
4/24/2018,5:10:03 PM,53,40.54,31.25352287,31.19426537,31.08752441,30.03872299,30.69531441,29.25798416,30.99256325
4/24/2018,5:10:03 PM,324,40.811,31.22982407,31.2179718,31.13497543,30.01477623,30.70722008,29.33027077,30.96881104
4/24/2018,5:10:03 PM,594,41.081,31.17055321,31.18240929,31.06379128,29.95489311,30.647686,29.23387718,30.98068619
4/24/2018,5:10:04 PM,134,41.621,31.2179718,31.24167442,31.09938812,30.03872299,30.69531441,29.33027077,31.00443649
4/24/2018,5:10:04 PM,405,41.892,31.31275368,31.26537132,31.13497543,30.14641571,30.74292564,29.39047623,31.02818108
4/24/2018,5:10:04 PM,675,42.162,31.3245945,31.26537132,31.19426537,30.09856415,30.7905159,29.34231377,31.06379128
