Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939
Location X,,,,293,296,295,20,22,19,78
Location Y,,,,60,111,169,56,114,167,117
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/24/2018,4:49:42 PM,242,43.513,35.37630463,34.75641251,34.52602005,32.36212921,33.08774948,32.52636337,33.75101471
4/24/2018,4:49:42 PM,783,44.054,35.34194946,34.6412735,34.44528198,32.35039139,32.9826889,32.47946167,33.66975784
4/24/2018,4:49:43 PM,53,44.324,35.31904221,34.67582703,34.50296021,32.36212921,33.04106903,32.50291443,33.68136978
4/24/2018,4:49:43 PM,324,44.595,35.30758286,34.62975311,34.47989273,32.35039139,33.02939606,32.573246,33.69297791
4/24/2018,4:49:43 PM,594,44.865,35.37630463,34.69885635,34.53755188,32.36212921,33.02939606,32.5498085,33.68136978
4/24/2018,4:49:44 PM,134,45.405,35.28466797,34.65279007,34.45681763,32.30342102,33.04106903,32.46773529,33.69297791
4/24/2018,4:49:44 PM,405,45.676,35.33049393,34.67582703,34.46835709,32.33864975,32.9826889,32.51464081,33.68136978
4/24/2018,4:49:44 PM,675,45.946,35.23882294,34.58366013,34.38757706,32.32690811,33.0060463,32.40907669,33.66975784
4/24/2018,4:49:44 PM,945,46.216,35.20442963,34.58366013,34.32984543,32.24468231,32.93596649,32.37386703,33.60006332
4/24/2018,4:49:45 PM,486,46.757,35.33049393,34.65279007,34.45681763,32.35039139,33.01771927,32.47946167,33.68136978
4/24/2018,4:49:45 PM,756,47.027,35.29612732,34.67582703,34.38757706,32.35039139,33.06441116,32.4560051,33.70458984
4/24/2018,4:49:46 PM,26,47.297,35.26174927,34.66430664,34.43374252,32.30342102,33.0060463,32.4442749,33.68136978
4/24/2018,4:49:46 PM,297,47.568,35.26174927,34.60670853,34.43374252,32.29167557,32.99436951,32.43254471,33.6349144
4/24/2018,4:49:46 PM,567,47.838,35.2502861,34.58366013,34.36448669,32.22117615,32.90091324,32.39734268,33.57682419
4/24/2018,4:49:46 PM,837,48.108,35.28466797,34.6412735,34.44528198,32.25643158,32.99436951,32.39734268,33.6581459
4/24/2018,4:49:47 PM,107,48.378,35.27320862,34.60670853,34.39912033,32.24468231,32.93596649,32.35039139,33.57682419
4/24/2018,4:49:47 PM,648,48.919,35.27320862,34.67582703,34.47989273,32.24468231,32.94765091,32.39734268,33.68136978
4/24/2018,4:49:47 PM,918,49.189,35.38775635,34.69885635,34.49142456,32.30342102,33.01771927,32.4560051,33.69297791
4/24/2018,4:49:48 PM,188,49.459,35.41065216,34.71036911,34.50296021,32.31516266,33.08774948,32.47946167,33.69297791
4/24/2018,4:49:48 PM,459,49.73,35.353405,34.68733978,34.51449203,32.35039139,33.02939606,32.50291443,33.6581459
4/24/2018,4:49:48 PM,729,50,35.36485672,34.72188187,34.53755188,32.33864975,33.02939606,32.50291443,33.70458984
4/24/2018,4:49:48 PM,999,50.27,35.43354416,34.74490356,34.53755188,32.32690811,33.0060463,32.4208107,33.70458984
4/24/2018,4:49:49 PM,269,50.54,35.46787643,34.81394196,34.59518433,32.33864975,33.04106903,32.56152725,33.77421951
4/24/2018,4:49:49 PM,540,50.811,35.38775635,34.69885635,34.59518433,32.2799263,32.99436951,32.52636337,33.68136978
4/24/2018,4:49:50 PM,80,51.351,35.37630463,34.73339462,34.52602005,32.31516266,32.99436951,32.49118805,33.71619797
4/24/2018,4:49:50 PM,351,51.622,35.50219727,34.77942657,34.61822891,32.40907669,33.07608032,32.62010956,33.77421951
4/24/2018,4:49:50 PM,621,51.892,35.39920425,34.71036911,34.47989273,32.33864975,33.02939606,32.51464081,33.69297791
4/24/2018,4:49:50 PM,891,52.162,35.43354416,34.72188187,34.5490799,32.43254471,33.07608032,32.5498085,33.75101471
4/24/2018,4:49:51 PM,161,52.432,35.47931671,34.82544708,34.57213593,32.4560051,33.13441467,32.56152725,33.83221817
4/24/2018,4:49:51 PM,432,52.703,35.49075699,34.8599472,34.60670853,32.43254471,33.12274933,32.5498085,33.78582382
4/24/2018,4:49:51 PM,702,52.973,35.52507401,34.84844589,34.66430664,32.4560051,33.16939926,32.63182449,33.82062149
4/24/2018,4:49:52 PM,242,53.513,35.52507401,34.81394196,34.59518433,32.49118805,33.15773773,32.58496475,33.85540771
4/24/2018,4:49:52 PM,513,53.784,35.53650665,34.90593338,34.72188187,32.573246,33.22768784,32.65524673,33.87859344
4/24/2018,4:49:52 PM,783,54.054,35.61653137,34.92892075,34.73339462,32.573246,33.23934174,32.70207977,33.89018631
4/24/2018,4:49:53 PM,53,54.324,35.51363373,34.8599472,34.59518433,32.47946167,33.1460762,32.62010956,33.86700058
4/24/2018,4:49:53 PM,594,54.865,35.43354416,34.77942657,34.57213593,32.38560486,33.08774948,32.52636337,33.83221817
4/24/2018,4:49:53 PM,864,55.135,35.52507401,34.83694839,34.59518433,32.4560051,33.09941864,32.59667969,33.85540771
4/24/2018,4:49:54 PM,134,55.405,35.52507401,34.83694839,34.6412735,32.573246,33.15773773,32.66695786,33.87859344
4/24/2018,4:49:54 PM,405,55.676,35.43354416,34.75641251,34.51449203,32.39734268,33.07608032,32.50291443,33.79742432
4/24/2018,4:49:54 PM,945,56.216,35.41065216,34.76792145,34.50296021,32.38560486,33.08774948,32.47946167,33.75101471
4/24/2018,4:49:55 PM,215,56.486,35.38775635,34.74490356,34.57213593,32.37386703,33.07608032,32.49118805,33.76261902
4/24/2018,4:49:55 PM,486,56.757,35.42210007,34.75641251,34.53755188,32.40907669,33.052742,32.51464081,33.7394104
4/24/2018,4:49:55 PM,756,57.027,35.46787643,34.81394196,34.59518433,32.4442749,33.13441467,32.51464081,33.76261902
4/24/2018,4:49:56 PM,297,57.568,35.51363373,34.83694839,34.66430664,32.47946167,33.07608032,32.58496475,33.76261902
