Plot 1 FLIR USB Video,,,,,
,,,,,
,,,,Sp1.Value,Sp2.Value
Emissivity,,,,0.9499999881,0.9499999881
Distance,,,,1,1
Reflected temperature,,,,23.9999939,23.9999939
Location X,,,,19,104
Location Y,,,,74,120
Size X,,,,,
Size Y,,,,,
Surface (pixels),,,,,
,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value
4/24/2018,3:25:07 PM,648,143.514,28.42344093,31.66750908
4/24/2018,3:25:07 PM,918,143.784,28.49624825,31.71473122
4/24/2018,3:25:08 PM,188,144.054,28.49624825,31.71473122
4/24/2018,3:25:08 PM,459,144.325,28.47198486,31.73833466
4/24/2018,3:25:08 PM,729,144.595,28.65384102,31.8680687
4/24/2018,3:25:08 PM,999,144.865,28.58113289,31.85628128
4/24/2018,3:25:09 PM,270,145.136,28.71439743,31.91521072
4/24/2018,3:25:09 PM,810,145.676,28.70228767,31.9976635
4/24/2018,3:25:10 PM,80,145.946,28.77492142,32.09182739
4/24/2018,3:25:10 PM,351,146.217,28.88378525,32.15063858
4/24/2018,3:25:10 PM,621,146.487,28.93213654,32.24468231
4/24/2018,3:25:10 PM,891,146.757,28.89587402,32.19766998
4/24/2018,3:25:11 PM,161,147.027,29.00462532,32.26818085
4/24/2018,3:25:11 PM,702,147.568,29.05292702,32.33864975
4/24/2018,3:25:11 PM,972,147.838,29.01670265,32.39734268
4/24/2018,3:25:12 PM,243,148.109,29.00462532,32.37386703
4/24/2018,3:25:12 PM,513,148.379,29.07707024,32.46773529
4/24/2018,3:25:13 PM,53,148.919,29.11327553,32.50291443
4/24/2018,3:25:13 PM,324,149.19,29.14946938,32.50291443
4/24/2018,3:25:13 PM,594,149.46,29.1374054,32.573246
4/24/2018,3:25:13 PM,864,149.73,29.22182274,32.64353561
4/24/2018,3:25:14 PM,405,150.271,29.22182274,32.69037247
4/24/2018,3:25:14 PM,675,150.541,29.23387718,32.69037247
4/24/2018,3:25:14 PM,945,150.811,29.37843704,32.78399277
4/24/2018,3:25:15 PM,215,151.081,29.41454887,32.8307724
4/24/2018,3:25:15 PM,486,151.352,29.4867382,32.8307724
4/24/2018,3:25:15 PM,756,151.622,29.42658424,32.91259766
4/24/2018,3:25:16 PM,26,151.892,29.39047623,32.84246445
4/24/2018,3:25:16 PM,567,152.433,29.42658424,32.93596649
4/24/2018,3:25:16 PM,837,152.703,29.4867382,32.94765091
4/24/2018,3:25:17 PM,107,152.973,29.55888367,33.02939606
4/24/2018,3:25:17 PM,378,153.244,29.67902756,33.15773773
