Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,29,278,280,163,28,114
Location Y,,,,118,58,120,118,61,121
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/23/2018,2:22:58 PM,26,19.459,38.20797348,32.68846893,33.4009552,27.54072189,34.75588608,25.98806381
4/23/2018,2:22:58 PM,567,20,38.17437363,32.65332031,33.31940842,27.47950745,34.70981216,25.88876534
4/23/2018,2:22:58 PM,837,20.27,38.16316986,32.58298874,33.3427124,27.49175453,34.69828796,25.92601204
4/23/2018,2:22:59 PM,108,20.541,38.28634262,32.72360992,33.41260147,27.55296135,34.74436951,26.02527809
4/23/2018,2:22:59 PM,378,20.811,38.16316986,32.79385757,33.41260147,27.52848244,34.8479805,26.00046921
4/23/2018,2:22:59 PM,648,21.081,38.19677353,32.66503906,33.37766266,27.5039978,34.88249969,25.9632473
4/23/2018,2:22:59 PM,918,21.351,38.23036957,32.65332031,33.42424393,27.5039978,34.8479805,25.95083618
4/23/2018,2:23:00 PM,189,21.622,38.15196609,32.68846893,33.37766266,27.52848244,34.80194092,25.91359711
4/23/2018,2:23:00 PM,459,21.892,38.21917343,32.62988281,33.41260147,27.54072189,34.91700745,25.9632473
4/23/2018,2:23:00 PM,999,22.432,38.21917343,32.72360992,33.4009552,27.49175453,34.82496262,25.95083618
4/23/2018,2:23:01 PM,270,22.703,38.30872726,32.77044678,33.4591713,27.55296135,34.96300125,26.00046921
4/23/2018,2:23:01 PM,540,22.973,38.31991577,32.85236359,33.52898788,27.60190392,34.99748611,26.06248093
4/23/2018,2:23:01 PM,810,23.243,38.37585068,32.78215027,33.55225372,27.6508255,34.96300125,26.06248093
4/23/2018,2:23:02 PM,80,23.513,38.420578,32.82896423,33.55225372,27.62636757,34.98599243,26.11206627
4/23/2018,2:23:02 PM,351,23.784,38.40939713,32.84066391,33.58714294,27.68750381,34.90550613,26.12445831
4/23/2018,2:23:02 PM,621,24.054,38.34229279,32.88745499,33.58714294,27.6997261,34.95150375,26.11206627
4/23/2018,2:23:03 PM,162,24.595,38.35348129,32.82896423,33.51735687,27.58967018,34.94000626,26.05008125
4/23/2018,2:23:03 PM,432,24.865,38.35348129,32.79385757,33.52898788,27.60190392,34.87099457,26.06248093
4/23/2018,2:23:03 PM,702,25.135,38.47646713,32.86406326,33.6336441,27.68750381,34.97449875,26.11206627
4/23/2018,2:23:03 PM,972,25.405,38.45411682,32.87575912,33.65688705,27.6508255,35.02047348,26.11206627
4/23/2018,2:23:04 PM,243,25.676,38.50999069,32.89915085,33.65688705,27.63859749,35.08940125,26.11206627
4/23/2018,2:23:04 PM,513,25.946,38.53233337,32.84066391,33.6336441,27.66305351,34.99748611,26.17401505
4/23/2018,2:23:04 PM,783,26.216,38.4876442,32.87575912,33.59877014,27.67527962,35.02047348,26.12445831
4/23/2018,2:23:05 PM,53,26.486,38.52116013,32.82896423,33.62202072,27.68750381,34.98599243,26.11206627
4/23/2018,2:23:05 PM,324,26.757,38.53233337,32.81726456,33.6336441,27.67527962,35.0089798,26.13685036
4/23/2018,2:23:05 PM,864,27.297,38.61050034,32.92253876,33.70336151,27.68750381,35.07791519,26.16162872
4/23/2018,2:23:06 PM,135,27.568,38.59933853,32.89915085,33.71497726,27.7608242,35.08940125,26.2111702
4/23/2018,2:23:06 PM,405,27.838,38.55467224,33.01603699,33.69174576,27.6997261,35.12385178,26.16162872
4/23/2018,2:23:06 PM,675,28.108,38.56583786,33.01603699,33.79626083,27.7608242,35.05493927,26.2235508
4/23/2018,2:23:06 PM,945,28.378,38.50999069,33.01603699,33.71497726,27.6997261,35.06642914,26.17401505
4/23/2018,2:23:07 PM,216,28.649,38.61050034,32.94591904,33.78465271,27.73638916,35.12385178,26.2235508
4/23/2018,2:23:07 PM,486,28.919,38.67746353,33.02771759,33.76143265,27.78525352,35.14681244,26.2359314
4/23/2018,2:23:08 PM,26,29.459,38.61050034,32.9692955,33.73820877,27.7608242,35.07791519,26.17401505
4/23/2018,2:23:08 PM,297,29.73,38.66630554,33.08611298,33.84268188,27.78525352,35.16976929,26.2359314
4/23/2018,2:23:08 PM,567,30,38.73323822,33.0510788,33.83107758,27.85851097,35.22714233,26.248312
4/23/2018,2:23:08 PM,837,30.27,38.75554276,33.15615082,33.87748337,27.90732384,35.30741882,26.32255936
4/23/2018,2:23:09 PM,108,30.541,38.66630554,33.08611298,33.81947327,27.80967903,35.23861313,26.28544044
4/23/2018,2:23:09 PM,378,30.811,38.65514755,32.99266815,33.83107758,27.78525352,35.2730217,26.2359314
4/23/2018,2:23:09 PM,648,31.081,38.65514755,33.00435257,33.78465271,27.80967903,35.22714233,26.2235508
4/23/2018,2:23:09 PM,918,31.351,38.65514755,33.0627594,33.84268188,27.77303886,35.25008392,26.18640137
4/23/2018,2:23:10 PM,459,31.892,38.68862152,32.99266815,33.80786514,27.74860764,35.22714233,26.16162872
4/23/2018,2:23:10 PM,729,32.162,38.65514755,33.02771759,33.83107758,27.73638916,35.1812439,26.12445831
4/23/2018,2:23:10 PM,999,32.432,38.68862152,33.12113571,33.83107758,27.80967903,35.19272232,26.19878578
4/23/2018,2:23:11 PM,270,32.703,38.80013657,33.15615082,33.91228104,27.84630585,35.30741882,26.28544044
4/23/2018,2:23:11 PM,540,32.973,38.92268753,33.2261467,34.00501633,27.87071609,35.34180832,26.32255936
4/23/2018,2:23:12 PM,80,33.513,38.94495773,33.2261467,34.05135727,27.89512253,35.35326767,26.33492851
4/23/2018,2:23:12 PM,351,33.784,38.90041351,33.26112747,34.00501633,27.89512253,35.37618637,26.35966301
4/23/2018,2:23:12 PM,621,34.054,38.86699677,33.2844429,33.93547058,27.84630585,35.38764191,26.26068878
4/23/2018,2:23:12 PM,891,34.324,38.80013657,33.21448135,33.94706345,27.79746628,35.34180832,26.27306557
4/23/2018,2:23:13 PM,162,34.595,38.90041351,33.27278519,33.99342728,27.85851097,35.35326767,26.32255936
4/23/2018,2:23:13 PM,432,34.865,39.01174164,33.31940842,34.03977203,27.91952515,35.44491577,26.37203026
4/23/2018,2:23:13 PM,972,35.405,38.94495773,33.29610062,33.98183823,27.89512253,35.4678154,26.35966301
4/23/2018,2:23:14 PM,243,35.676,38.92268753,33.33106232,34.00501633,27.85851097,35.53649139,26.37203026
4/23/2018,2:23:14 PM,513,35.946,38.96722412,33.29610062,34.01660156,27.89512253,35.4678154,26.33492851
4/23/2018,2:23:14 PM,783,36.216,38.97835541,33.27278519,34.00501633,27.88292122,35.43346405,26.34729767
4/23/2018,2:23:15 PM,53,36.486,38.90041351,33.29610062,34.05135727,27.90732384,35.39910126,26.33492851
4/23/2018,2:23:15 PM,324,36.757,38.97835541,33.36601257,34.09768295,27.95611763,35.45636749,26.35966301
4/23/2018,2:23:15 PM,594,37.027,39.01174164,33.38930893,34.0281868,27.95611763,35.53649139,26.37203026
4/23/2018,2:23:16 PM,135,37.568,39.04512405,33.41260147,34.0281868,27.88292122,35.4678154,26.34729767
4/23/2018,2:23:16 PM,405,37.838,39.02286911,33.27278519,34.00501633,27.94392014,35.53649139,26.32255936
4/23/2018,2:23:16 PM,675,38.108,39.08961487,33.36601257,34.09768295,27.99269867,35.58225632,26.39675713
4/23/2018,2:23:16 PM,945,38.378,39.16743851,33.42424393,34.15555954,28.0170784,35.62800217,26.43383789
4/23/2018,2:23:17 PM,216,38.649,39.15632248,33.42424393,34.12083817,28.04145432,35.59369659,26.40911865
4/23/2018,2:23:17 PM,486,38.919,39.11185455,33.29610062,34.09768295,27.96831131,35.53649139,26.38439369
4/23/2018,2:23:17 PM,756,39.189,39.11185455,33.26112747,34.07452011,27.94392014,35.53649139,26.35966301
4/23/2018,2:23:18 PM,26,39.459,39.08961487,33.3427124,34.03977203,27.95611763,35.53649139,26.34729767
4/23/2018,2:23:18 PM,567,40,39.05624771,33.2261467,34.05135727,27.90732384,35.42200851,26.32255936
4/23/2018,2:23:18 PM,837,40.27,39.03399658,33.24946594,34.00501633,27.87071609,35.43346405,26.29781532
4/23/2018,2:23:19 PM,108,40.541,39.04512405,33.24946594,34.0281868,27.84630585,35.52505112,26.28544044
4/23/2018,2:23:19 PM,378,40.811,39.05624771,33.30775452,34.0281868,27.83409691,35.50215912,26.2359314
4/23/2018,2:23:19 PM,648,41.081,39.13409042,33.37766266,34.12083817,27.87071609,35.49071121,26.28544044
4/23/2018,2:23:19 PM,918,41.351,39.08961487,33.33106232,34.10926056,27.84630585,35.4678154,26.26068878
4/23/2018,2:23:20 PM,459,41.892,39.07849503,33.3427124,34.08610153,27.83409691,35.4678154,26.2235508
