Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,3:04:14 PM,540,2458.649,44.12704849,38.75554276,39.47825241,34.12083817,40.76884842
4/20/2018,3:04:14 PM,810,2458.919,44.18050766,38.65514755,39.51150894,34.14398575,40.90047836
4/20/2018,3:04:15 PM,80,2459.189,44.19119644,38.7443924,39.48933792,34.20184326,40.87855148
4/20/2018,3:04:15 PM,621,2459.73,44.20188522,38.77783966,39.4671669,34.1902771,40.87855148
4/20/2018,3:04:15 PM,891,2460,44.14843369,38.75554276,39.52259445,34.20184326,40.88951492
4/20/2018,3:04:16 PM,161,2460.27,44.22326279,38.81128311,39.60015106,34.2249794,40.92240524
4/20/2018,3:04:16 PM,432,2460.541,44.26600266,38.81128311,39.51150894,34.23654556,41.0100708
4/20/2018,3:04:16 PM,702,2460.811,44.19119644,38.75554276,39.53367615,34.20184326,40.90047836
4/20/2018,3:04:16 PM,972,2461.081,44.25531769,38.80013657,39.56691742,34.20184326,40.96624374
4/20/2018,3:04:17 PM,243,2461.352,44.22326279,38.76669312,39.53367615,34.20184326,40.97720337
4/20/2018,3:04:17 PM,513,2461.622,44.25531769,38.80013657,39.53367615,34.21341324,41.0429306
4/20/2018,3:04:17 PM,783,2461.892,44.25531769,38.78899002,39.56691742,34.23654556,40.97720337
4/20/2018,3:04:18 PM,324,2462.433,44.21257401,38.6997757,39.50042343,34.21341324,40.99911499
4/20/2018,3:04:18 PM,594,2462.703,44.23394775,38.6997757,39.55583954,34.2249794,41.02102661
4/20/2018,3:04:18 PM,864,2462.973,44.25531769,38.76669312,39.5779953,34.21341324,41.0429306
4/20/2018,3:04:19 PM,134,2463.243,44.23394775,38.81128311,39.54475784,34.21341324,40.94432831
4/20/2018,3:04:19 PM,405,2463.514,44.27668381,38.72208405,39.48933792,34.17870712,41.0429306
4/20/2018,3:04:19 PM,675,2463.784,44.28736496,38.71092987,39.51150894,34.17870712,40.96624374
4/20/2018,3:04:20 PM,216,2464.325,44.35143661,38.77783966,39.65552139,34.2249794,41.03197861
4/20/2018,3:04:20 PM,486,2464.595,44.23394775,38.71092987,39.51150894,34.14398575,40.95528793
4/20/2018,3:04:20 PM,756,2464.865,44.24463272,38.68862152,39.60015106,34.17870712,40.93336868
4/20/2018,3:04:21 PM,26,2465.135,44.29804611,38.72208405,39.55583954,34.21341324,40.98815918
4/20/2018,3:04:21 PM,297,2465.406,44.26600266,38.80013657,39.5779953,34.21341324,41.0100708
4/20/2018,3:04:21 PM,567,2465.676,44.26600266,38.65514755,39.56691742,34.20184326,40.86758423
