Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,1:04:04 PM,810,27.838,24.5898819,24.6024437,24.46419716,24.18719101,24.5773201
4/20/2018,1:04:05 PM,351,28.379,24.52705765,24.5898819,24.46419716,24.21240234,24.55219078
4/20/2018,1:04:05 PM,621,28.649,24.5898819,24.65267181,24.4516201,24.2502079,24.55219078
4/20/2018,1:04:05 PM,891,28.919,24.55219078,24.67777824,24.52705765,24.26280594,24.5773201
4/20/2018,1:04:05 PM,891,28.919,24.55219078,24.67777824,24.52705765,24.26280594,24.5773201
4/20/2018,1:04:06 PM,162,29.19,24.5898819,24.67777824,24.48934555,24.23760796,24.5898819
4/20/2018,1:04:06 PM,432,29.46,24.50191689,24.62756157,24.50191689,24.19979858,24.52705765
4/20/2018,1:04:06 PM,702,29.73,24.51448822,24.66522598,24.47677231,24.19979858,24.56475639
4/20/2018,1:04:07 PM,243,30.271,24.48934555,24.61500359,24.43904305,24.17458534,24.48934555
4/20/2018,1:04:07 PM,513,30.541,24.50191689,24.66522598,24.4516201,24.17458534,24.52705765
4/20/2018,1:04:07 PM,783,30.811,24.53962517,24.69033051,24.47677231,24.19979858,24.52705765
4/20/2018,1:04:08 PM,53,31.081,24.42646408,24.56475639,24.38871765,24.12413979,24.46419716
4/20/2018,1:04:08 PM,324,31.352,24.48934555,24.65267181,24.46419716,24.19979858,24.50191689
4/20/2018,1:04:08 PM,594,31.622,24.51448822,24.61500359,24.4516201,24.18719101,24.56475639
4/20/2018,1:04:08 PM,864,31.892,24.48934555,24.5773201,24.4516201,24.18719101,24.47677231
4/20/2018,1:04:09 PM,135,32.163,24.52705765,24.6024437,24.42646408,24.2250061,24.51448822
4/20/2018,1:04:09 PM,675,32.703,24.56475639,24.6024437,24.46419716,24.26280594,24.52705765
4/20/2018,1:04:09 PM,945,32.973,24.56475639,24.65267181,24.4516201,24.21240234,24.5898819
4/20/2018,1:04:10 PM,216,33.244,24.52705765,24.62756157,24.42646408,24.21240234,24.55219078
4/20/2018,1:04:10 PM,486,33.514,24.46419716,24.5773201,24.4516201,24.14936447,24.4516201
4/20/2018,1:04:10 PM,756,33.784,24.4516201,24.55219078,24.40130234,24.13675308,24.47677231
4/20/2018,1:04:11 PM,26,34.054,24.48934555,24.6024437,24.41388321,24.19979858,24.48934555
4/20/2018,1:04:11 PM,297,34.325,24.53962517,24.5773201,24.40130234,24.18719101,24.52705765
4/20/2018,1:04:11 PM,567,34.595,24.50191689,24.62756157,24.48934555,24.19979858,24.47677231
4/20/2018,1:04:12 PM,108,35.136,24.51448822,24.66522598,24.43904305,24.21240234,24.48934555
4/20/2018,1:04:12 PM,378,35.406,24.56475639,24.65267181,24.47677231,24.23760796,24.56475639
4/20/2018,1:04:12 PM,648,35.676,24.5773201,24.7154274,24.51448822,24.2250061,24.5898819
4/20/2018,1:04:12 PM,918,35.946,24.55219078,24.67777824,24.5773201,24.30059433,24.6024437
4/20/2018,1:04:13 PM,189,36.217,24.56475639,24.76560593,24.5773201,24.28800011,24.56475639
4/20/2018,1:04:13 PM,459,36.487,24.61500359,24.76560593,24.62756157,24.30059433,24.62756157
4/20/2018,1:04:13 PM,729,36.757,24.5773201,24.7154274,24.51448822,24.30059433,24.5773201
4/20/2018,1:04:13 PM,999,37.027,24.6024437,24.72797394,24.56475639,24.32578087,24.5898819
4/20/2018,1:04:14 PM,540,37.568,24.6024437,24.7154274,24.56475639,24.33837128,24.62756157
4/20/2018,1:04:14 PM,810,37.838,24.56475639,24.74052048,24.51448822,24.30059433,24.61500359
4/20/2018,1:04:15 PM,80,38.108,24.5898819,24.67777824,24.51448822,24.28800011,24.5898819
4/20/2018,1:04:15 PM,351,38.379,24.5773201,24.70287895,24.51448822,24.28800011,24.6024437
4/20/2018,1:04:15 PM,621,38.649,24.64011765,24.67777824,24.51448822,24.27540398,24.5898819
4/20/2018,1:04:15 PM,891,38.919,24.5898819,24.64011765,24.47677231,24.2502079,24.55219078
4/20/2018,1:04:16 PM,162,39.19,24.51448822,24.6024437,24.40130234,24.17458534,24.47677231
4/20/2018,1:04:16 PM,702,39.73,24.47677231,24.50191689,24.36354637,24.13675308,24.41388321
4/20/2018,1:04:16 PM,972,40,24.48934555,24.5898819,24.38871765,24.12413979,24.46419716
4/20/2018,1:04:17 PM,243,40.271,24.47677231,24.5773201,24.41388321,24.13675308,24.46419716
4/20/2018,1:04:17 PM,513,40.541,24.43904305,24.55219078,24.35095978,24.09890938,24.40130234
4/20/2018,1:04:17 PM,783,40.811,24.38871765,24.55219078,24.33837128,24.06105423,24.40130234
4/20/2018,1:04:18 PM,53,41.081,24.41388321,24.51448822,24.32578087,24.07367325,24.43904305
4/20/2018,1:04:18 PM,324,41.352,24.41388321,24.61500359,24.38871765,24.09890938,24.46419716
4/20/2018,1:04:18 PM,594,41.622,24.37613297,24.48934555,24.31318855,24.07367325,24.40130234
4/20/2018,1:04:19 PM,135,42.163,24.4516201,24.50191689,24.40130234,24.08629227,24.37613297
4/20/2018,1:04:19 PM,405,42.433,24.4516201,24.53962517,24.37613297,24.09890938,24.38871765
4/20/2018,1:04:19 PM,675,42.703,24.42646408,24.51448822,24.35095978,24.08629227,24.42646408
4/20/2018,1:04:19 PM,945,42.973,24.47677231,24.5898819,24.4516201,24.14936447,24.50191689
4/20/2018,1:04:20 PM,216,43.244,24.53962517,24.6024437,24.42646408,24.14936447,24.50191689
4/20/2018,1:04:20 PM,486,43.514,24.53962517,24.62756157,24.47677231,24.19979858,24.48934555
4/20/2018,1:04:20 PM,756,43.784,24.5773201,24.64011765,24.46419716,24.21240234,24.55219078
4/20/2018,1:04:21 PM,26,44.054,24.50191689,24.62756157,24.46419716,24.17458534,24.53962517
4/20/2018,1:04:21 PM,567,44.595,24.55219078,24.65267181,24.43904305,24.18719101,24.56475639
4/20/2018,1:04:21 PM,837,44.865,24.50191689,24.56475639,24.37613297,24.16197586,24.5898819
4/20/2018,1:04:22 PM,108,45.136,24.62756157,24.74052048,24.55219078,24.23760796,24.65267181
4/20/2018,1:04:22 PM,378,45.406,24.53962517,24.61500359,24.46419716,24.2250061,24.61500359
4/20/2018,1:04:22 PM,648,45.676,24.47677231,24.61500359,24.42646408,24.16197586,24.51448822
4/20/2018,1:04:22 PM,918,45.946,24.50191689,24.5773201,24.38871765,24.14936447,24.48934555
4/20/2018,1:04:23 PM,189,46.217,24.4516201,24.5898819,24.41388321,24.14936447,24.48934555
4/20/2018,1:04:23 PM,459,46.487,24.50191689,24.56475639,24.38871765,24.14936447,24.47677231
4/20/2018,1:04:23 PM,999,47.027,24.56475639,24.67777824,24.47677231,24.17458534,24.5898819
4/20/2018,1:04:24 PM,270,47.298,24.61500359,24.76560593,24.5773201,24.2250061,24.64011765
4/20/2018,1:04:24 PM,540,47.568,24.52705765,24.61500359,24.46419716,24.14936447,24.50191689
4/20/2018,1:04:24 PM,810,47.838,24.47677231,24.65267181,24.40130234,24.13675308,24.52705765
4/20/2018,1:04:25 PM,80,48.108,24.52705765,24.66522598,24.48934555,24.21240234,24.53962517
4/20/2018,1:04:25 PM,351,48.379,24.55219078,24.5773201,24.4516201,24.2250061,24.47677231
4/20/2018,1:04:25 PM,891,48.919,24.46419716,24.50191689,24.31318855,24.12413979,24.42646408
4/20/2018,1:04:26 PM,162,49.19,24.48934555,24.55219078,24.36354637,24.13675308,24.47677231
4/20/2018,1:04:26 PM,432,49.46,24.51448822,24.5773201,24.37613297,24.14936447,24.52705765
4/20/2018,1:04:26 PM,702,49.73,24.4516201,24.56475639,24.36354637,24.09890938,24.46419716
4/20/2018,1:04:26 PM,972,50,24.40130234,24.50191689,24.32578087,24.08629227,24.43904305
4/20/2018,1:04:27 PM,243,50.271,24.48934555,24.53962517,24.37613297,24.11152649,24.46419716
4/20/2018,1:04:27 PM,513,50.541,24.47677231,24.61500359,24.42646408,24.08629227,24.4516201
4/20/2018,1:04:27 PM,783,50.811,24.48934555,24.56475639,24.42646408,24.11152649,24.50191689
4/20/2018,1:04:28 PM,324,51.352,24.52705765,24.6024437,24.41388321,24.11152649,24.55219078
4/20/2018,1:04:28 PM,594,51.622,24.56475639,24.56475639,24.42646408,24.13675308,24.56475639
4/20/2018,1:04:28 PM,864,51.892,24.47677231,24.51448822,24.36354637,24.11152649,24.43904305
4/20/2018,1:04:29 PM,135,52.163,24.50191689,24.51448822,24.41388321,24.08629227,24.52705765
4/20/2018,1:04:29 PM,405,52.433,24.53962517,24.5773201,24.4516201,24.13675308,24.52705765
4/20/2018,1:04:29 PM,675,52.703,24.50191689,24.51448822,24.33837128,24.11152649,24.47677231
4/20/2018,1:04:30 PM,216,53.244,24.53962517,24.5898819,24.41388321,24.12413979,24.52705765
4/20/2018,1:04:30 PM,486,53.514,24.46419716,24.52705765,24.35095978,24.08629227,24.46419716
4/20/2018,1:04:30 PM,756,53.784,24.43904305,24.47677231,24.33837128,24.08629227,24.40130234
4/20/2018,1:04:31 PM,26,54.054,24.37613297,24.42646408,24.2250061,24.0484314,24.35095978
4/20/2018,1:04:31 PM,297,54.325,24.51448822,24.5898819,24.40130234,24.12413979,24.47677231
4/20/2018,1:04:31 PM,837,54.865,24.56475639,24.6024437,24.40130234,24.14936447,24.50191689
4/20/2018,1:04:32 PM,107,55.135,24.53962517,24.56475639,24.41388321,24.14936447,24.52705765
4/20/2018,1:04:32 PM,378,55.406,24.5898819,24.62756157,24.42646408,24.17458534,24.5898819
4/20/2018,1:04:32 PM,648,55.676,24.53962517,24.5898819,24.35095978,24.13675308,24.52705765
4/20/2018,1:04:32 PM,918,55.946,24.53962517,24.55219078,24.36354637,24.14936447,24.48934555
4/20/2018,1:04:33 PM,459,56.487,24.4516201,24.56475639,24.41388321,24.12413979,24.46419716
4/20/2018,1:04:33 PM,729,56.757,24.53962517,24.62756157,24.4516201,24.14936447,24.52705765
4/20/2018,1:04:33 PM,999,57.027,24.51448822,24.6024437,24.40130234,24.12413979,24.52705765
4/20/2018,1:04:34 PM,270,57.298,24.53962517,24.61500359,24.41388321,24.13675308,24.50191689
4/20/2018,1:04:34 PM,540,57.568,24.5773201,24.69033051,24.46419716,24.18719101,24.52705765
4/20/2018,1:04:34 PM,810,57.838,24.51448822,24.66522598,24.46419716,24.14936447,24.51448822
4/20/2018,1:04:35 PM,351,58.379,24.55219078,24.61500359,24.47677231,24.13675308,24.52705765
4/20/2018,1:04:35 PM,621,58.649,24.50191689,24.5898819,24.43904305,24.11152649,24.53962517
4/20/2018,1:04:35 PM,891,58.919,24.55219078,24.69033051,24.4516201,24.17458534,24.50191689
4/20/2018,1:04:36 PM,162,59.19,24.52705765,24.70287895,24.47677231,24.13675308,24.55219078
4/20/2018,1:04:36 PM,432,59.46,24.56475639,24.62756157,24.48934555,24.21240234,24.53962517
4/20/2018,1:04:36 PM,702,59.73,24.56475639,24.65267181,24.42646408,24.17458534,24.53962517
4/20/2018,1:04:36 PM,972,60,24.55219078,24.62756157,24.46419716,24.18719101,24.5773201
4/20/2018,1:04:37 PM,243,60.271,24.52705765,24.65267181,24.42646408,24.13675308,24.55219078
4/20/2018,1:04:37 PM,783,60.811,24.53962517,24.64011765,24.43904305,24.18719101,24.53962517
4/20/2018,1:04:38 PM,53,61.081,24.51448822,24.6024437,24.42646408,24.16197586,24.50191689
4/20/2018,1:04:38 PM,324,61.352,24.47677231,24.56475639,24.36354637,24.13675308,24.47677231
4/20/2018,1:04:38 PM,594,61.622,24.48934555,24.51448822,24.37613297,24.12413979,24.43904305
4/20/2018,1:04:38 PM,864,61.892,24.41388321,24.53962517,24.32578087,24.11152649,24.43904305
4/20/2018,1:04:39 PM,405,62.433,24.4516201,24.5773201,24.38871765,24.14936447,24.46419716
4/20/2018,1:04:39 PM,675,62.703,24.35095978,24.51448822,24.30059433,24.07367325,24.37613297
4/20/2018,1:04:39 PM,945,62.973,24.47677231,24.62756157,24.37613297,24.13675308,24.46419716
4/20/2018,1:04:40 PM,216,63.244,24.47677231,24.5773201,24.35095978,24.12413979,24.4516201
4/20/2018,1:04:40 PM,486,63.514,24.42646408,24.53962517,24.33837128,24.09890938,24.42646408
4/20/2018,1:04:40 PM,756,63.784,24.4516201,24.56475639,24.36354637,24.12413979,24.47677231
4/20/2018,1:04:41 PM,297,64.325,24.42646408,24.52705765,24.36354637,24.07367325,24.40130234
4/20/2018,1:04:41 PM,567,64.595,24.40130234,24.53962517,24.35095978,24.07367325,24.42646408
4/20/2018,1:04:41 PM,837,64.865,24.41388321,24.5773201,24.40130234,24.0484314,24.40130234
4/20/2018,1:04:42 PM,107,65.135,24.48934555,24.5898819,24.46419716,24.09890938,24.4516201
4/20/2018,1:04:42 PM,378,65.406,24.5773201,24.66522598,24.51448822,24.19979858,24.52705765
4/20/2018,1:04:42 PM,648,65.676,24.55219078,24.66522598,24.52705765,24.21240234,24.50191689
4/20/2018,1:04:42 PM,918,65.946,24.53962517,24.67777824,24.47677231,24.19979858,24.55219078
4/20/2018,1:04:43 PM,459,66.487,24.52705765,24.5898819,24.43904305,24.14936447,24.47677231
4/20/2018,1:04:43 PM,729,66.757,24.46419716,24.64011765,24.43904305,24.17458534,24.42646408
4/20/2018,1:04:43 PM,999,67.027,24.52705765,24.55219078,24.38871765,24.14936447,24.46419716
4/20/2018,1:04:44 PM,270,67.298,24.51448822,24.56475639,24.41388321,24.13675308,24.46419716
4/20/2018,1:04:44 PM,540,67.568,24.53962517,24.69033051,24.48934555,24.17458534,24.53962517
4/20/2018,1:04:44 PM,810,67.838,24.48934555,24.62756157,24.38871765,24.14936447,24.4516201
4/20/2018,1:04:45 PM,80,68.108,24.53962517,24.70287895,24.48934555,24.19979858,24.56475639
4/20/2018,1:04:45 PM,351,68.379,24.55219078,24.64011765,24.43904305,24.21240234,24.52705765
4/20/2018,1:04:45 PM,621,68.649,24.52705765,24.69033051,24.4516201,24.21240234,24.6024437
4/20/2018,1:04:46 PM,162,69.19,24.56475639,24.7154274,24.52705765,24.2502079,24.56475639
4/20/2018,1:04:46 PM,432,69.46,24.55219078,24.67777824,24.46419716,24.19979858,24.55219078
4/20/2018,1:04:46 PM,702,69.73,24.51448822,24.67777824,24.43904305,24.12413979,24.50191689
4/20/2018,1:04:46 PM,972,70,24.4516201,24.62756157,24.40130234,24.12413979,24.46419716
4/20/2018,1:04:47 PM,243,70.271,24.42646408,24.5898819,24.35095978,24.14936447,24.42646408
4/20/2018,1:04:47 PM,783,70.811,24.40130234,24.64011765,24.33837128,24.13675308,24.40130234
4/20/2018,1:04:48 PM,53,71.081,24.41388321,24.5773201,24.32578087,24.14936447,24.42646408
4/20/2018,1:04:48 PM,324,71.352,24.47677231,24.61500359,24.35095978,24.16197586,24.42646408
4/20/2018,1:04:48 PM,594,71.622,24.50191689,24.64011765,24.35095978,24.11152649,24.48934555
4/20/2018,1:04:48 PM,864,71.892,24.50191689,24.66522598,24.42646408,24.14936447,24.4516201
4/20/2018,1:04:49 PM,135,72.163,24.42646408,24.53962517,24.36354637,24.14936447,24.43904305
4/20/2018,1:04:49 PM,405,72.433,24.4516201,24.6024437,24.36354637,24.14936447,24.4516201
4/20/2018,1:04:49 PM,945,72.973,24.46419716,24.5773201,24.42646408,24.14936447,24.42646408
4/20/2018,1:04:50 PM,216,73.244,24.4516201,24.56475639,24.36354637,24.17458534,24.43904305
4/20/2018,1:04:50 PM,486,73.514,24.4516201,24.61500359,24.37613297,24.13675308,24.43904305
4/20/2018,1:04:50 PM,756,73.784,24.52705765,24.67777824,24.40130234,24.21240234,24.50191689
4/20/2018,1:04:51 PM,26,74.054,24.5773201,24.70287895,24.50191689,24.21240234,24.53962517
4/20/2018,1:04:51 PM,297,74.325,24.56475639,24.69033051,24.48934555,24.21240234,24.56475639
4/20/2018,1:04:51 PM,567,74.595,24.56475639,24.70287895,24.43904305,24.2250061,24.55219078
4/20/2018,1:04:52 PM,107,75.135,24.52705765,24.66522598,24.46419716,24.16197586,24.53962517
4/20/2018,1:04:52 PM,378,75.406,24.56475639,24.70287895,24.48934555,24.17458534,24.50191689
4/20/2018,1:04:52 PM,648,75.676,24.56475639,24.70287895,24.47677231,24.17458534,24.5773201
4/20/2018,1:04:52 PM,918,75.946,24.55219078,24.67777824,24.47677231,24.14936447,24.53962517
4/20/2018,1:04:53 PM,189,76.217,24.55219078,24.74052048,24.56475639,24.18719101,24.53962517
4/20/2018,1:04:53 PM,459,76.487,24.52705765,24.76560593,24.48934555,24.16197586,24.5773201
