Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,2:53:42 PM,14:53:42,41.22897339,42.63201904,41.73103333,36.09592819
4/18/2018,2:53:43 PM,14:53:43,41.283638,42.63201904,41.79637909,36.15287018
4/18/2018,2:53:43 PM,14:53:43,41.17428207,42.56709671,41.70924759,36.10731888
4/18/2018,2:53:43 PM,14:53:43,41.19615936,42.51296997,41.68745422,36.0617485
4/18/2018,2:53:44 PM,14:53:44,41.22897339,42.51296997,41.72014236,36.09592819
4/18/2018,2:53:44 PM,14:53:44,41.29457092,42.62120056,41.78548813,36.10731888
4/18/2018,2:53:44 PM,14:53:44,41.30550003,42.61038208,41.75281906,36.07314301
4/18/2018,2:53:44 PM,14:53:44,41.27270889,42.56709671,41.66566086,36.01616287
4/18/2018,2:53:45 PM,14:53:45,41.29457092,42.62120056,41.70924759,36.0617485
4/18/2018,2:53:45 PM,14:53:45,41.283638,42.56709671,41.69835281,36.0617485
4/18/2018,2:53:45 PM,14:53:45,41.36013412,42.57791901,41.73103333,36.050354
4/18/2018,2:53:46 PM,14:53:46,41.32735443,42.64283371,41.75281906,36.0617485
4/18/2018,2:53:46 PM,14:53:46,41.31642914,42.64283371,41.73103333,36.08453369
4/18/2018,2:53:46 PM,14:53:46,41.30550003,42.62120056,41.76371002,36.09592819
4/18/2018,2:53:47 PM,14:53:47,41.33828354,42.59955978,41.73103333,36.14148331
4/18/2018,2:53:47 PM,14:53:47,41.37105942,42.63201904,41.77460098,36.14148331
4/18/2018,2:53:47 PM,14:53:47,41.34920883,42.62120056,41.75281906,36.08453369
4/18/2018,2:53:48 PM,14:53:48,41.34920883,42.59955978,41.75281906,36.09592819
4/18/2018,2:53:48 PM,14:53:48,41.40382385,42.62120056,41.77460098,36.17564011
4/18/2018,2:53:48 PM,14:53:48,41.37105942,42.62120056,41.79637909,36.13009644
4/18/2018,2:53:48 PM,14:53:48,41.33828354,42.61038208,41.81814957,36.13009644
4/18/2018,2:54:05 PM,14:54:05,41.16334152,42.37213516,41.67655945,36.02756119
4/18/2018,2:54:05 PM,14:54:05,41.18522263,42.36129761,41.63295746,36.01616287
4/18/2018,2:54:05 PM,14:54:05,41.16334152,42.31792831,41.63295746,36.0389595
4/18/2018,2:54:06 PM,14:54:06,41.1414566,42.28539276,41.60025024,35.98196411
4/18/2018,2:54:06 PM,14:54:06,41.17428207,42.30708313,41.63295746,36.050354
4/18/2018,2:54:06 PM,14:54:06,41.16334152,42.31792831,41.5675354,36.02756119
4/18/2018,2:54:07 PM,14:54:07,41.18522263,42.33961487,41.54571915,36.01616287
4/18/2018,2:54:07 PM,14:54:07,41.19615936,42.41548538,41.57844162,36.0389595
4/18/2018,2:54:07 PM,14:54:07,41.1414566,42.31792831,41.5675354,35.99336624
4/18/2018,2:54:07 PM,14:54:07,41.1086235,42.24200058,41.53480911,35.94775391
4/18/2018,2:54:08 PM,14:54:08,41.08672714,42.20944595,41.43658447,35.92494202
4/18/2018,2:54:08 PM,14:54:08,41.0100708,42.18773651,41.46933365,35.86789322
4/18/2018,2:54:08 PM,14:54:08,41.0538826,42.25284958,41.5020752,35.85647964
4/18/2018,2:54:09 PM,14:54:09,40.98815918,42.22029877,41.3819809,35.84506607
4/18/2018,2:54:09 PM,14:54:09,41.08672714,42.29623795,41.52389908,35.91353607
4/18/2018,2:54:09 PM,14:54:09,41.07577896,42.26369858,41.55662537,35.98196411
4/18/2018,2:54:09 PM,14:54:09,41.0429306,42.28539276,41.52389908,35.92494202
4/18/2018,2:54:10 PM,14:54:10,41.06483078,42.36129761,41.53480911,35.97056198
4/18/2018,2:54:10 PM,14:54:10,41.0429306,42.33961487,41.53480911,35.95915604
4/18/2018,2:54:11 PM,14:54:11,41.0429306,42.27454758,41.49116135,35.87930679
4/18/2018,2:54:11 PM,14:54:11,41.11956787,42.30708313,41.5675354,35.89071655
4/18/2018,2:54:11 PM,14:54:11,41.08672714,42.35045624,41.5675354,35.92494202
4/18/2018,2:54:11 PM,14:54:11,41.07577896,42.23115158,41.53480911,35.93634796
4/18/2018,2:54:12 PM,14:54:12,41.11956787,42.27454758,41.5675354,35.95915604
4/18/2018,2:54:12 PM,14:54:12,41.13051224,42.31792831,41.60025024,35.94775391
4/18/2018,2:54:12 PM,14:54:12,41.13051224,42.3287735,41.55662537,35.92494202
4/18/2018,2:54:12 PM,14:54:12,41.17428207,42.39381409,41.58934784,35.94775391
4/18/2018,2:54:13 PM,14:54:13,41.1086235,42.36129761,41.57844162,35.92494202
4/18/2018,2:54:13 PM,14:54:13,41.08672714,42.3287735,41.61115265,35.93634796
4/18/2018,2:54:14 PM,14:54:14,41.08672714,42.24200058,41.5675354,35.91353607
4/18/2018,2:54:14 PM,14:54:14,41.17428207,42.3287735,41.66566086,36.01616287
4/18/2018,2:54:14 PM,14:54:14,41.17428207,42.28539276,41.63295746,36.050354
4/18/2018,2:54:14 PM,14:54:14,41.19615936,42.29623795,41.66566086,36.02756119
4/18/2018,2:54:15 PM,14:54:15,41.15240097,42.25284958,41.58934784,36.00476456
4/18/2018,2:54:15 PM,14:54:15,41.1086235,42.24200058,41.55662537,35.92494202
4/18/2018,2:54:15 PM,14:54:15,41.08672714,42.19859314,41.5675354,35.93634796
4/18/2018,2:54:16 PM,14:54:16,41.13051224,42.26369858,41.58934784,35.92494202
4/18/2018,2:54:16 PM,14:54:16,41.0429306,42.18773651,41.55662537,35.91353607
4/18/2018,2:54:16 PM,14:54:16,41.08672714,42.19859314,41.5675354,35.91353607
4/18/2018,2:54:17 PM,14:54:17,41.08672714,42.20944595,41.61115265,35.92494202
4/18/2018,2:54:17 PM,14:54:17,41.1086235,42.16602707,41.58934784,35.93634796
4/18/2018,2:54:17 PM,14:54:17,41.08672714,42.19859314,41.58934784,35.91353607
4/18/2018,2:54:17 PM,14:54:17,41.1086235,42.30708313,41.61115265,35.92494202
4/18/2018,2:54:18 PM,14:54:18,41.1414566,42.30708313,41.66566086,35.97056198
4/18/2018,2:54:18 PM,14:54:18,41.13051224,42.30708313,41.67655945,36.01616287
4/18/2018,2:54:18 PM,14:54:18,41.1414566,42.29623795,41.72014236,35.94775391
4/18/2018,2:54:19 PM,14:54:19,41.11956787,42.3287735,41.64385986,35.97056198
4/18/2018,2:54:19 PM,14:54:19,41.09767532,42.27454758,41.61115265,35.95915604
4/18/2018,2:54:19 PM,14:54:19,41.15240097,42.31792831,41.62205887,36.00476456
