Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,5:06:46 PM,17:06:46,38.63282394,34.97449875,35.08940125,33.86588287
4/18/2018,5:06:46 PM,17:06:46,38.63282394,34.97449875,35.07791519,33.84268188
4/18/2018,5:06:47 PM,17:06:47,38.64398575,35.03196335,35.12385178,33.88908386
4/18/2018,5:06:47 PM,17:06:47,38.58817291,34.99748611,35.08940125,33.87748337
4/18/2018,5:06:47 PM,17:06:47,38.56583786,34.90550613,35.12385178,33.87748337
4/18/2018,5:06:48 PM,17:06:48,38.53233337,34.96300125,35.12385178,33.87748337
4/18/2018,5:06:48 PM,17:06:48,38.52116013,34.90550613,35.11236954,33.86588287
4/18/2018,5:06:48 PM,17:06:48,38.44293976,34.89400101,35.03196335,33.78465271
4/18/2018,5:06:48 PM,17:06:48,38.55467224,34.97449875,35.10088348,33.88908386
4/18/2018,5:06:49 PM,17:06:49,38.59933853,35.02047348,35.1812439,34.01660156
4/18/2018,5:06:49 PM,17:06:49,38.4876442,34.98599243,35.06642914,33.93547058
4/18/2018,5:06:49 PM,17:06:49,38.50999069,35.02047348,35.1353302,33.95865631
4/18/2018,5:06:50 PM,17:06:50,38.45411682,34.94000626,35.06642914,33.94706345
4/18/2018,5:06:50 PM,17:06:50,38.46529388,34.89400101,35.07791519,33.93547058
4/18/2018,5:06:50 PM,17:06:50,38.45411682,34.90550613,35.07791519,33.94706345
4/18/2018,5:06:51 PM,17:06:51,38.45411682,34.92850494,35.07791519,33.94706345
4/18/2018,5:06:51 PM,17:06:51,38.46529388,34.94000626,35.07791519,33.9238739
4/18/2018,5:06:51 PM,17:06:51,38.4876442,34.98599243,35.1353302,34.00501633
4/18/2018,5:06:51 PM,17:06:51,38.4876442,34.98599243,35.11236954,34.00501633
4/18/2018,5:06:52 PM,17:06:52,38.4876442,34.95150375,35.07791519,33.98183823
4/18/2018,5:06:52 PM,17:06:52,38.47646713,35.0089798,35.11236954,34.01660156
4/18/2018,5:06:52 PM,17:06:52,38.43175888,34.96300125,35.10088348,34.00501633
4/18/2018,5:06:53 PM,17:06:53,38.28634262,34.87099457,35.03196335,33.93547058
